d058.s043.t000	4) temporary housing for homeless or displaced persons.
d032.s087.t010	0) cause or allow (a liquid substance) to run or flow from a container. Question: given the following
d032.s087.t011	0) a roughly cylindrical vessel that is open at the topQuestion: given the following sentence: "The sound of
subject.n.06_example.1	6) a person who is subjected to experimental or other observational procedures; someone who is an object of investigation.
d042.s041.t000	0) of or relating to or functioning as an adjective.  #### Related QuestionsWhat is the meaning of "b
d042.s041.t001	0) the message that is intended or expressed or signified.
d042.s041.t002	2) provide evidence for.
d042.s041.t003	0) in a relative manner; by comparison to something else.
d042.s041.t004	0) less than normal in degree or intensity or amount.
d042.s041.t005	0) the power of retaining and recalling past experience. Question: given the following sentence: "The two brothers were
d042.s041.t006	0) (linguistics) the form of a word after all affixes are removed.
d042.s041.t007	0) have the quality of being; (copula, used with an adjective or a predicate noun).
d042.s041.t008	0) having or marked by confidence or assurance.
d042.s041.t009	0) be shown or be found to be.
d042.s041.t010	0) have the quality of being; (copula, used with an adjective or a predicate noun).
d042.s041.t011	1) a special set of circumstances.
d042.s041.t012	0) (superlative of `many' used with count nouns and often preceded by `the') quantifier meaning
d042.s041.t013	0) a systematic means of communicating by the use of sounds or conventional symbols. Question: given the following sentence:
d042.s041.t014	0) pertaining to or constituting a base or basis.
d042.s041.t015	0) a database containing an ordered array of items (names or topics)
d042.s041.t016	2) add as part of something else; put in as part of a set, group, or category.
d042.s041.t017	0) being one more than fourteen. 0) being one more than fourteen. 0) being one more than
d042.s041.t018	0) a proportion in relation to a whole (which is usually the amount per hundred).  #### Information ##### Contributors
d042.s041.t019	5) subject to change; variable.
d042.s041.t020	9) an arrangement of the elements in a composition or discourse. Question: given the following sentence: "The old
d042.s041.t021	0) and nothing moreQuestion: given the following sentence: "The new policy will require that all employees, regardless
d042.s041.t022	0) being one more than seven. (It is not a definition in the classical sense, but rather a mathematical statement
d042.s041.t023	0) a proportion in relation to a whole (which is usually the amount per hundred).  #### Information ##### Contributors
d042.s041.t024	0) a living organism characterized by voluntary movement.
d042.s041.t025	1) (botany) a living organism lacking the power of locomotion. Question: given the following sentence:
d042.s041.t026	1) take the place or move into the position of. Question: given the following sentence: "The doctor was
d042.s041.t027	0) to a great degree or extent.
d042.s041.t028	0) used to form the comparative of some adjectives and adverbs.
d042.s041.t029	0) without speed (`slow' is sometimes used informally for `slowly').Question: given the following sentence
d094.s062.t000	0) relating to or involving a mass spectrometer.
d094.s062.t001	1) a form of investigation in which the structure of a whole is separated into its constituent parts in order to study the
d094.s062.t002	1) a fluid in the gaseous state having neither independent shape nor volume and being able to expand indefinitely.
d094.s062.t003	1) undergo development or evolutionQuestion: given the following sentence: "The expected weight loss for **f going to
d094.s062.t004	0) make hot or hotter.
d094.s062.t005	0) a degree on the centigrade scale of temperature.
d094.s062.t006	3) give evidence of.
d094.s062.t007	0) any of several oxides of nitrogen formed by the action of nitric acid on oxidizable materials; present in
d094.s062.t008	0) water in a vaporous form diffused in the atmosphere but below boiling temperature.
d032.s000.t000	2) occupy a certain position or area; be somewhere.
d032.s000.t001	3) the direction corresponding to the westward cardinal compass point.  Note: This question is not very clear, as
d032.s000.t002	0) a river in eastern Texas that flows south into the Gulf of Mexico.
d185.s101.t000	1) nearest in space or position; immediately adjoining without intervening space.
d185.s101.t001	0) a human being. Question: given the following sentence: "`` The sound of bells is a net to
d185.s101.t002	0) a human beingQuestion: given the following sentence: "The new coach had a reputation for being a discipl
d185.s101.t003	0) impart skills or knowledge to.
d185.s101.t004	0) a human being.
d185.s101.t005	0) have the quality of being; (copula, used with an adjective or a predicate noun).  #ling
d185.s101.t006	0) narrow-leaved green herbage: grown as lawns; used as pasture for grazing animals; cut and dried
d185.s101.t007	0) an awkward and inexperienced youth.
d185.s101.t008	3) act or move at high speedQuestion: given the following sentence: "`` He's a man of great
d185.s101.t009	2) a determination of the place where something is.Question: given the following sentence: "In the 19th
d185.s101.t010	0) being one more than nine.
d185.s101.t011	0) a period of time containing 365 (or 366) days.  More...  (from the source
d185.s101.t012	0) in the past.
d185.s101.t013	0) one of the twelve divisions of the calendar year. 0) one of the twelve divisions of the calendar year
d185.s101.t014	0) give help or assistance; be of service. Question: given the following sentence: "The sound of bells
d185.s101.t015	0) any number of entities (members) considered as a unitQuestion: given the following sentence: "`` The
d185.s101.t016	0) be the winner in a contest or competition; be victorious.
d185.s101.t017	1) sensational in appearance or thrilling in effect. Question: given the following sentence: "`` It's a very
d185.s101.t018	0) the award given to the champion.
d098.s056.t000	1) a minor inadvertent mistake usually observed in speech or writing or in small accidents or memory lapses etc.
d098.s056.t001	0) have the quality of being; (copula, used with an adjective or a predicate noun).  |
d098.s056.t002	3) called by this name, often with a hint of irony or criticism.
d098.s056.t003	0) open to two or more interpretations; or of uncertain nature or significance; or (often) intended to mislead
d098.s056.t004	0) an Indo-European language belonging to the West Germanic branch; the official language of Britain and the United States and
d098.s056.t005	0) at all times; all the time and on every occasion. Question: given the following sentence: "In
d098.s056.t006	0) give a certain impression or have a certain outward aspect. 1) seem to be true, probable, or
d098.s056.t007	0) make reference toQuestion: given the following sentence: "The sound of bells is a net to draw people
d098.s056.t008	0) a human being.
d098.s056.t009	1) alternative names for the body of a human being.
d098.s056.t010	0) not ever; at no time in the past or future.  #### View more#### View more####
d098.s056.t011	3) actually or truly or to an extreme.
d098.s056.t012	0) mean or intend to express or convey. Question: given the following sentence: "The sound of bells is
d098.s056.t013	0) give a certain impression or have a certain outward aspect. Question: given the following sentence: "The question
d098.s056.t014	8) state as one's opinion or judgement; declare.  % Answer: 8) state as one's opinion
d129.s079.t000	0) a human beingQuestion: given the following sentence: "The sound of bells is a net to draw people
d129.s079.t001	1) communicate or express by writing.
d129.s079.t002	0) activities associated with sexual intercourse.
d129.s079.t003	0) the month following January and preceding March.
d129.s079.t004	0) any immature animal. Question: given the following sentence: "`` The sound of bells is a net to
d129.s079.t005	12) be pregnant with. ... (more)Question: given the following sentence: "The sound of bells is
d129.s079.t006	0) the month following February and preceding April.
d142.s063.t000	0) more than one but indefinitely small in number.
d142.s063.t001	2) an indication of potential opportunity.
d142.s063.t002	6) pursue until captured. Question: given the following sentence: "`` I 'll take a cup of coffee
d142.s063.t003	0) a quantity of no importance.
d142.s063.t004	0) showing possibility of achievement or excellenceQuestion: given the following sentence: "`` What's the use of
d160.s042.t000	0) consisting of a haphazard assortment of different kinds; ; ; ; ; ; - I.A.Richards
d160.s042.t001	1) the part of the earth's surface consisting of humus and disintegrated rock.Question: given the following
d160.s042.t002	0) for the most part. Question: given the following sentence: "The patient had a fever, headache,
d160.s042.t003	2) add as part of something else; put in as part of a set, group, or category.  (
d160.s042.t004	0) having the sticky properties of an adhesiveQuestion: given the following sentence: "The new policy is expected to
d160.s042.t005	6) a particular kind or species of matter with uniform properties.
d160.s042.t006	1) the state in which a substance exhibits a characteristic readiness to flow with little or no tendency to disperse and relatively
d160.s042.t007	0) lose or cause to lose liquid by vaporization leaving a more concentrated residue.  Final Answer: The final answer
d160.s042.t008	6) have as a result or residue.
d160.s042.t009	0) matter that remains after something has been removed.
d071.s054.t000	0) not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered
d071.s054.t001	5) a distinctive but intangible quality surrounding a person or thing. Question: given the following sentence: "The
d071.s054.t002	1) pressing importance requiring speedy action.
d071.s054.t003	2) the federal government of the United States.
d071.s054.t004	0) any period of seven consecutive days.
d058.s049.t000	3) a visual representation (a picture or diagram) that is used make some subject more pleasing or easier to understand.
d058.s049.t001	0) a diagram or picture illustrating textual material.
d058.s049.t002	0) the cardinal number that is the sum of ten and one.
d058.s049.t003	4) show in, or as in, a picture.
d058.s049.t004	0) a structure that provides privacy and protection from danger.
d058.s049.t005	0) a protective covering that covers or forms the top of a buildingQuestion: given the following sentence: "``
d058.s049.t006	0) the height of the ground on which something standsQuestion: given the following sentence: "The first of these
d058.s049.t007	0) having a wound formed over it. (Note: The word "mounded" in this context is likely a
base.n.18_example.0	7) a support or foundation.
d107.s036.t000	0) the month following April and preceding June.
d107.s036.t001	0) used as intensifiers; `real' is sometimes used informally for `really'; `rattling'
d107.s036.t002	0) above average in size or number or quantity or magnitude or extent.
d107.s036.t003	1) a change resulting in an increase.
d107.s036.t004	0) come to pass.
d107.s036.t005	0) the property of a body that causes it to have weight in a gravitational field. Question: given the following
d107.s036.t006	0) immediately following in time or order.
d107.s036.t007	0) being one more than one.
d107.s036.t008	4) the recurring hours when you are not sleeping (especially those when you are working). Question: given the following
d107.s036.t009	0) the striking of one body against another.
d107.s036.t010	0) a magnitude or frequency relative to a time unit.
d107.s036.t011	4) happen, occur, take place.  #  #  #  #  #  #  #
d107.s036.t012	0) immediately following in time or order.
d107.s036.t013	0) denoting a quantity consisting of one more than eight and one less than ten.
d107.s036.t014	4) the recurring hours when you are not sleeping (especially those when you are working).
d107.s036.t015	0) the striking of one body against another.
d107.s036.t016	0) a magnitude or frequency relative to a time unit.
d107.s036.t017	4) happen, occur, take place.
d107.s036.t018	0) a human being.  Final Answer: The final answer is 0. I hope it is correct.
d056.s011.t000	0) become bigger or greater in amount.
d056.s011.t001	0) a magnitude or frequency relative to a time unitQuestion: given the following sentence: "The first book of
d056.s011.t002	0) a quantity that is added.
d056.s011.t003	0) to make better.
d056.s011.t004	0) food for domestic livestock.
d056.s011.t005	0) the ratio of the output to the input of any systemQuestion: given the following sentence: "The
d056.s011.t006	0) provide as food. Question: given the following sentence: "`` This is the most beautiful and elegant of
d056.s011.t007	0) being one more than nine.
d056.s011.t008	0) being five more than twenty.  #### 2017-02-14 20:14:13.
d056.s011.t009	0) a metric unit of weight equal to one thousandth of a kilogramQuestion: given the following sentence:
d056.s011.t010	1) a British unit of weight equivalent to 2240 pounds.
d056.s011.t011	0) having every necessary or normal part or component or step.  ````Question: given the following sentence: "
d056.s011.t012	0) food for domestic livestock.
d008.s167.t000	1) being or existing in a specified place.
d008.s167.t001	0) the place where some action occurs.
d008.s167.t002	0) no longer having or seeming to have or expecting to have life.
d008.s167.t003	0) an adult person who is male (as opposed to a woman) Question: given the following sentence: "
d008.s167.t004	0) have the quality of being; (copula, used with an adjective or a predicate noun).
d008.s167.t005	0) in truth (often tends to intensify) Question: given the following sentence: "The first thing that
d008.s167.t006	0) a human beingQuestion: given the following sentence: "The two main types of language are the formal and
d008.s167.t007	0) have the quality of being; (copula, used with an adjective or a predicate noun).
d008.s167.t008	0) a human beingQuestion: given the following sentence: "`` We are going to the movies, `` he
d008.s167.t009	1) an associate in an activity or endeavor or sphere of common interest.
d008.s167.t010	0) a human being.
d008.s167.t011	0) a human beingQuestion: given the following sentence: "The sound of bells is a net to draw people
d008.s167.t012	0) an agency that designs advertisement to call public attention to its clients.  Question: given the following sentence: "
d008.s167.t013	0) a person responsible for the administration of a business.
d008.s167.t014	0) be in charge of, act on, or dispose ofQuestion: given the following sentence: "The first
d008.s167.t015	8) an itemized statement of money owed for goods shipped or services rendered. Question: given the following sentence:
d105.s042.t000	0) engage in.
d105.s042.t001	0) carry out.
d105.s042.t002	0) a single sample or measurement taken at a specific time or over as short a period as feasible. Question:
d105.s042.t003	0) an amount of time.
d105.s042.t004	7) subsequently or soon afterward (often used as sentence connectors).
d105.s042.t005	6) the property of something that is great in magnitude.
d105.s042.t006	0) a collection of facts from which conclusions may be drawn.
d105.s042.t007	1) subject to a process or treatment, with the aim of readying for some purpose, improving, or remedying
d105.s042.t008	0) denoting a quantity consisting of six items or units.
d105.s042.t009	0) a period of time equal to 1/24th of a day.
d105.s042.t010	0) a conceptual whole made up of complicated and related partsQuestion: given the following sentence: "The study of
d105.s042.t011	1) items selected at random from a population and used to test hypotheses about the population.
d019.s148.t000	3) at the present moment.
d019.s148.t001	0) limited or below average in number or quantity or magnitude or extent.
d019.s148.t002	6) sudden reddening of the face (as from embarrassment or guilt or shame or modesty).  %%% end
d019.s148.t003	2) develop in a positive way.
d019.s148.t004	0) very light colored; highly diluted with white. Question: given the following sentence: "The new employee was
d019.s148.t005	0) lacking in physical beauty or proportion.
d019.s148.t006	0) the front of the human head from the forehead to the chin and ear to ear. Question: given the
d019.s148.t007	0) a feeling of great liking for something wonderful and unusual.
d019.s148.t008	0) the organ of sight. Question: given the following sentence: "The young man, who had been sitting
d063.s056.t000	2) look at, interpret, and say out loud something that is written or printed.  (Note: This answer
d063.s056.t001	3) having great diversity or variety.
d063.s056.t002	1) an estimate based on little or no information.
d063.s056.t003	0) a quantifier that can be used with count nouns and is often preceded by `as' or `too'
d063.s056.t004	0) a native or inhabitant of the United StatesQuestion: given the following sentence: "The 1992
d063.s056.t005	0) live in or as if in a tent. Question: given the following sentence: "`` The sound of
d332.s068.t000	2) occupy a place or location, also metaphorically. Question: given the following sentence: "The sound of
d332.s068.t001	0) give expression or utterance to.
d332.s068.t002	0) shed tears because of sadness, rage, or pain.
d332.s068.t003	0) hit hard with the hand, fist, or some heavy instrumentQuestion: given the following sentence: "The
d332.s068.t004	0) appeal or request earnestly.
d035.s047.t000	0) negation of a word or group of words.
d035.s047.t001	15) continue or extend.
d035.s047.t002	0) expected hopefully.
d035.s047.t003	1) a relative position or degree of value in a graded group.
d035.s047.t004	0) former measure of the United States economy; the total market value of goods and services produced by all citizens and capital
d035.s047.t005	0) despite anything to the contrary (usually following a concession).
d035.s047.t006	0) occurring in or belonging to the present time.
d035.s047.t007	0) a position on a scale of intensity or amount or quality.
d035.s047.t008	0) former measure of the United States economy; the total market value of goods and services produced by all citizens and capital
d035.s047.t009	0) have an effect upon.
d035.s047.t010	0) people in general considered as a whole.  ###### 1.3.1.3.3.
d035.s047.t011	5) an oppressive condition of physical or mental or social or economic distress.
d035.s047.t012	0) something that remunerates.
d035.s047.t013	2) value measured by what must be given or done or undergone to obtain something.
d035.s047.t014	1) a change resulting in an increase.
d060.s003.t000	0) a unit of language that native speakers can identify.
d060.s003.t001	0) a tax return that corrects the information in an earlier return. Question: given the following sentence: "
d060.s003.t002	0) unmistakably (`plain' is often used informally for `plainly').Question: given the following sentence
d060.s003.t003	1) communicate or express by writing. Question: given the following sentence: "The sound of bells is a net
d060.s003.t004	0) the upper part of anything.  (Note: This is a very general definition and could be applied to many
d060.s003.t005	0) document giving the tax collector information about the taxpayer's tax liability.
d042.s051.t000	0) a word or expression used for some particular thing.
d042.s051.t001	0) have a tendency or disposition to do or be something; be inclined.
d042.s051.t002	0) have the quality of being; (copula, used with an adjective or a predicate noun). Question:
d042.s051.t003	2) lacking clarity or distinctness.
d042.s051.t004	5) be compatible, similar or consistent; coincide in their characteristics.
d042.s051.t005	0) presently existing in fact and not merely potential or possible. Question: given the following sentence: "`` The
d042.s051.t006	0) a systematic means of communicating by the use of sounds or conventional symbols.  #### Information related to the question
d042.s051.t007	0) advancing in amount or intensity.
d042.s051.t008	6) without skill or in a displeasing manner.
d138.s064.t000	0) a large area of land preserved in its natural state as public property.
d138.s064.t001	0) someone who visits.  Final Answer: The final answer is 0. I hope it is correct.
d138.s064.t002	0) have the quality of being; (copula, used with an adjective or a predicate noun).
d138.s064.t003	0) at all times; all the time and on every occasion.
d138.s064.t004	0) having or showing keen interest or intense desire or impatient expectancy.
d138.s064.t005	0) gain knowledge or skills.
d138.s064.t006	1) comparative of much; to a greater degree or extent.
d138.s064.t007	0) a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography
d138.s064.t008	0) have the quality of being; (copula, used with an adjective or a predicate noun). 13)
d171.s067.t000	1) a division of a stem, or secondary stem arising from the main stem of a plant.
d171.s067.t001	1) stretch out over a distance, space, time, or scope; run or extend between two points or beyond a
d171.s067.t002	0) to a degree exceeding normal or proper limits.
d171.s067.t003	1) at or to or from a great distance in space.
d171.s067.t004	0) an adult person who is male (as opposed to a woman).Question: given the following sentence:
d171.s067.t005	6) to close within bounds, limit or hold back from movement.
d171.s067.t006	1) at or to or toward the back or rear. Question: given the following sentence: "`` You know
d171.s067.t007	1) nearest in space or position; immediately adjoining without intervening space.
d171.s067.t008	12) be in direct physical contact with; make contact. Question: given the following sentence: "`` It is
d171.s067.t009	1) literal meanings; being at or having a relatively small elevation or upward extension.
d171.s067.t010	0) projection that extends beyond or hangs over something else.  % 0.0000000Question: given
d171.s067.t011	0) notify of danger, potential harm, or risk.
d041.s110.t000	0) as might be expected.
d041.s110.t001	1) how a result is obtained or an end is achieved. 12) a means or method of doing something.
d041.s110.t002	0) not the same one or ones already mentioned or implied; - the White QueenQuestion: given the following sentence
d041.s110.t003	0) an aircraft that has a fixed wing and is powered by propellers or jets.
d041.s110.t004	1) pass or move in front of.
d125.s049.t000	0) have the quality of being; (copula, used with an adjective or a predicate noun).
d125.s049.t001	0) coming next after the third and just before the fifth in position or time or degree or magnitude.
d125.s049.t002	1) (American football) a complete play to advance the football. Question: given the following sentence: "The
d125.s049.t003	0) a short forward pass in which the receiver is protected by a screen of blockers.  (Note: This is
d125.s049.t004	0) any number of entities (members) considered as a unitQuestion: given the following sentence: "`` I
d125.s049.t005	0) not complete or total; not completedQuestion: given the following sentence: "The 1974-75
d125.s049.t006	14) (sports) the act of throwing the ball to another member of your team.
d125.s049.t007	0) a human being.
d125.s049.t008	0) a region marked off for administrative or other purposesQuestion: given the following sentence: "`` The sound of
abstemious.s.02_example.1	7) easily assimilated in the alimentary canal; not rich or heavily seasoned.
d113.s017.t000	0) a subdivision of a particular kind of thing.
d113.s017.t001	0) used of a single unit or thing; not two or more.
d113.s017.t002	0) give something useful or necessary to.
d113.s017.t003	0) of or involving or contained in the arteries.
d113.s017.t004	0) the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood
d113.s017.t005	0) between lobes or lobules.
d113.s017.t006	0) (anatomy) a dividing partition between two tissues or cavities.
d113.s017.t007	1) to an extreme degree.  (Note: The word "extremely" is an adverb that modifies the
d113.s017.t008	11) affording an abundant supply.
d113.s017.t009	0) of or relating to or exhibiting anastomosis.
d113.s017.t010	0) of or relating to the pleura or the walls of the thorax. Question: given the following sentence
d113.s017.t011	2) the activity of supplying or providing something.
d113.s017.t012	6) see or watch.
d113.s017.t013	0) a diagram or picture illustrating textual material.
d113.s017.t014	0) denoting a quantity consisting of one more than eight and one less than ten.
d113.s017.t015	0) being one more than nine.
d012.s022.t000	3) the time of a particular event.  |  |### 3.5.3.4.
d012.s022.t001	0) prior to a specified or implied time.
d012.s022.t002	0) be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about.
d012.s022.t003	0) a person who invites guests to a social event (such as a party in his or her own home) and
d012.s022.t004	4) order politely; express a wish for.
d012.s022.t005	1) get together socially or for a specific purpose.
d012.s022.t006	0) used of a single unit or thing; not two or more. Question: given the following sentence: "
d012.s022.t007	0) more than one but indefinitely small in number.  (The answer is 0 because the sentence implies that "
d012.s022.t008	0) having an illustrious reputation; respected.
d012.s022.t009	1) a recent arrival.
d012.s022.t010	0) subsequently or soon afterward (often used as sentence connectors). Question: given the following sentence: "`` The
d012.s022.t011	0) an informal party of people with hospitality for all comers.
d012.s022.t012	0) instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity.
d012.s022.t013	0) have the quality of being; (copula, used with an adjective or a predicate noun). Question:
d012.s022.t014	0) giving an advantage.
d012.s022.t015	0) having an illustrious reputation; respected.
d012.s022.t016	0) a visitor to whom hospitality is extended.  |  See more related questions in: Semantics and Lexical
d012.s022.t017	0) have the quality of being; (copula, used with an adjective or a predicate noun). Question:
d012.s022.t018	2) securely placed or fastened or set.
d012.s022.t019	0) connecting or tending to connect.
d012.s022.t020	11) a distinct part that can be specified separately in a group of things that could be enumerated on a list.
d012.s022.t021	0) a visitor to whom hospitality is extended. Question: given the following sentence: "The `` open house ''
d012.s022.t022	4) give rise to; cause to happen or occur, not always intentionally.
d012.s022.t023	7) scatter or part. 4) destroy the integrity of; usually by force; cause to separate into pieces or
d012.s022.t024	8) the act of bringing two things into contact (especially for communication).
d012.s022.t025	1) the entrance (the space in a wall) through which you enter or leave a room or building; the space
moloch.n.01_example.0	1) god of the Canaanites and Phoenicians to whom parents sacrificed their children.
d030.s036.t000	1) act in advance of; deal with ahead of time.
d030.s036.t001	1) a relational difference between states; especially between states before and after some event.
d030.s036.t002	1) the loyalty that citizens owe to their country (or subjects to their sovereign).  |  |## References
d030.s036.t003	0) a member of the Democratic Party.
d030.s036.t004	0) in a hurried or hasty manner.  % 1.0/1.0Question: given
d030.s036.t005	4) arrange by systematic planning and united effort. Question: given the following sentence: "The new employee was a
d030.s036.t006	1) something given or done as an expression of esteem.
d030.s036.t007	0) a ceremonial dinner party for many people.
d030.s036.t008	0) a human beingQuestion: given the following sentence: "The new policy will be implemented in stages, with
d030.s036.t009	0) not private; open to or concerning the people as a whole.  |  |Final Answer: The final
d030.s036.t010	0) a recompense for worthy acts or retribution for wrongdoing.
d030.s036.t011	0) earlier than the present time; no longer current.
d030.s036.t012	0) work done by one person or group that benefits another.
d030.s036.t013	0) a message that helps you remember something.
d030.s036.t014	1) feelings of allegiance.
d030.s036.t015	5) have a place in relation to something else.
d177.s056.t000	0) have the quality of being; (copula, used with an adjective or a predicate noun).
d177.s056.t001	0) providing no shelter or sustenance.
d177.s056.t002	0) a lump or mass of hard consolidated mineral matterQuestion: given the following sentence: "`` The sound of
d177.s056.t003	1) being or from or characteristic of another place or part of the world.
d177.s056.t004	1) the part of the earth's surface covered with water (such as a river or lake or ocean).
d177.s056.t005	0) time for Earth to make a complete rotation on its axisQuestion: given the following sentence: "The smell
d177.s056.t006	0) dislike intensely; feel antipathy or aversion towards.
d177.s056.t007	0) a division of an ocean or a large body of salt water partially enclosed by land.
d080.s028.t000	0) the person who holds the secretaryship of the Treasury Department.
d080.s028.t001	0) a United States federal official who supervises expenditures and settles claims against the government.
d080.s028.t002	0) North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North
d080.s028.t003	1) a special set of circumstances.
d080.s028.t004	0) have the quality of being; (copula, used with an adjective or a predicate noun).
d080.s028.t005	1) discover or determine the existence, presence, or fact of. ... (more)I would like to ask
d080.s028.t006	0) a human being.
d080.s028.t007	0) have the quality of being; (copula, used with an adjective or a predicate noun).  #ling
d080.s028.t008	0) qualified for by right according to law.
d080.s028.t009	0) a sum of money paid or a claim discharged.
d080.s028.t010	0) a sum of money paid or a claim discharged.
d080.s028.t011	0) get something; come into possession of.
d080.s028.t012	2) a grammatical category used in the classification of pronouns, possessive determiners, and verb forms according to
d080.s028.t013	0) have the quality of being; (copula, used with an adjective or a predicate noun). Question:
d080.s028.t014	3) expressing finality with no implication of possible change.
d080.s028.t015	14) (law) a railing that encloses the part of the courtroom where the judges and lawyers sit and the case
d080.s028.t016	2) the act of regaining or saving something lost (or in danger of becoming lost). Question: given the
d080.s028.t017	0) not the same one or ones already mentioned or implied; - the White Queen.
d080.s028.t018	0) a human being.
d080.s028.t019	0) North American republic containing 50 states - 48 conterminous states in North America plus Alaska in northwest North
d080.s028.t020	1) someone who is appointed or elected to an office and who holds a position of trust. Question: given the
d080.s028.t021	1) a representative who acts on behalf of other persons or organizations.
d080.s028.t022	0) a worker who is hired to perform a job.
d080.s028.t023	0) a sum of money paid or a claim discharged.
d105.s058.t000	2) the power of retaining liquid.
d105.s058.t001	0) an amount of time.  (Note: There are two occurrences of "period" in the sentence. In
d105.s058.t002	0) (of a liquid) treated by having air passed or bubbled through it for purificationQuestion: given the
d105.s058.t003	8) a body of water, especially a small one, that is partly landlocked, such as a lake or a
d105.s058.t004	0) change or be different within limits.
d105.s058.t005	4) the recurring hours when you are not sleeping (especially those when you are working).
d105.s058.t006	2) compute the average of.
d105.s058.t007	4) the recurring hours when you are not sleeping (especially those when you are working).
d125.s035.t000	4) promoting or enhancing well-being.
d125.s035.t001	0) the experiencing of affective and emotional states.  Question: given the following sentence: "`` The sound of
d125.s035.t002	4) use persuasion successfully.
d125.s035.t003	0) any number of entities (members) considered as a unit. Question: given the following sentence: "``
d125.s035.t004	0) teach and supervise (someone); act as a trainer or coach (to), as in sports.  } %
d125.s035.t005	0) personnel who assist their superior in carrying out an assigned task. Question: given the following sentence: "``
d125.s035.t006	0) the second day of the week; the first working day.
d125.s035.t007	0) the process whereby a person concentrates on some features of the environment to the (relative) exclusion of others.
d125.s035.t008	1) with little or no delay.
d125.s035.t009	19) channel one's attention, interest, thought, or attention toward or away from something. Question: given the
d125.s035.t010	0) the seventh and last day of the week; observed as the Sabbath by Jews and some Christians.
d125.s035.t011	0) a successful ending of a struggle or contest.  #### Information related to "bells" in the database
d125.s035.t012	0) immediately following in time or order. Question: given the following sentence: "`` The sound of bells is
d125.s035.t013	0) any period of seven consecutive daysFinal Answer: The final answer is 0) any period of seven consecutive
d125.s035.t014	0) a state of difficulty that needs to be resolved.
d125.s035.t015	0) any number of entities (members) considered as a unitQuestion: given the following sentence: "In
d215.s034.t000	0) take and lift upward.
d215.s034.t001	0) speak in an unfriendly toneQuestion: given the following sentence: "`` The sound of bells is a
d030.s016.t000	3) the effect of one thing (or person) on another.
d030.s016.t001	3) (Roman Catholic Church and Protestant Churches) the celebration of the Eucharist.
d030.s016.t002	0) have the quality of being; (copula, used with an adjective or a predicate noun).  (Note
d030.s016.t003	0) used to form the comparative of some adjectives and adverbs.
d030.s016.t004	3) filled to capacity or overflowing.
d030.s016.t005	0) a run-down apartment house barely meeting minimal standards.
d030.s016.t006	0) a building where prostitutes are available.  Final Answer: The final answer is 0. I hope it is
d030.s016.t007	0) a cheap disreputable nightclub or dance hall.
d030.s016.t008	0) a saloon whose floor is covered with sawdust. (Note: the sentence implies that the saloons are
d030.s016.t009	0) the place where someone was born.
d030.s016.t010	10) move about freely and without restraint, or act as if running around in an uncontrolled way.  (Note
d030.s016.t011	0) in an uncontrolled and rampant manner.
d030.s016.t012	0) a young person of either sex.
d030.s016.t013	0) an association of criminals.
d030.s016.t014	0) a surrounding or nearby region.
d030.s016.t015	4) pursue to a conclusion or bring to a successful issue. Question: given the following sentence: "The sound
d030.s016.t016	2) being approximately average or within certain limits in e.g. intelligence and development.
d030.s016.t017	1) a connected series of events or actions or developments.
d030.s016.t018	0) the act of taking something from someone unlawfully.
d030.s016.t019	0) the force of policemen and officers.
d030.s016.t020	2) deliberately avoiding; keeping away from or preventing from happening.  Final Answer: The final answer is 2.
d030.s016.t021	0) trespassing for an unlawful purpose; illegal entrance into premises with criminal intent.
senseval2.d001.s038.t000	1) construct a theory about.
senseval2.d001.s038.t001	0) the organ of sight.
senseval2.d001.s038.t002	0) any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the
senseval2.d001.s038.t004	2) receive by genetic transmission.
senseval2.d001.s038.t005	0) harmed or injured or spoiled.
senseval2.d001.s038.t006	1) a thing made to be similar or identical to another thing.
senseval2.d001.s038.t008	0) a father or mother; one who begets or one who gives birth to or nurtures and raises a child
senseval2.d001.s038.t009	0) conforming with or constituting a norm or standard or level or type or social norm; not abnormal.
senseval2.d001.s038.t010	1) a thing made to be similar or identical to another thing.
d102.s016.t000	2) place or lay as if in a pile.  | | | | | | | | | | | |
d102.s016.t001	1) an effigy of Guy Fawkes that is burned on a bonfire on Guy Fawkes Day.
d102.s016.t002	0) a large outdoor fire that is lighted as a signal or in celebration.
d102.s016.t003	0) the day after today.
d102.s016.t004	6) the time between sunset and midnight.
d102.s016.t005	0) have a wish or desire to know something.
d102.s016.t006	0) (quantifier used with mass nouns) great in quantity or degree or extent.  % 0) (
d102.s016.t007	6) not pretended; sincerely felt or expressed.
d102.s016.t008	3) a record or narrative description of past events. Question: given the following sentence: "The new museum's
d102.s016.t009	0) a human being.  ###### 1. 1. 1. 1. 1.
d102.s016.t010	0) recall knowledge from memory; have a recollection. 8) a percussion instrument consisting of a set of tuned
d153.s077.t000	0) a human being. Question: given the following sentence: "The sound of bells is a net to draw
d153.s077.t001	0) go or come back to place, condition, or activity where one has been before. Question: given the
