d058.s043.t000	shelter.n.h.01
d034.s035.t000	now.r.h.01: ['at the present moment', 'without delay or hesitation']
d034.s035.t001	wait.v.h.01
d034.s035.t002	minute.n.h.01
d034.s035.t003	tell.v.h.01
d034.s035.t004	think_about.v.h.01
d034.s035.t005	person.n.h.01
d034.s035.t006	be.v.h.01
d034.s035.t007	non.r.h.01
d034.s035.t008	person.n.h.01
d034.s035.t009	house.n.h.01
d034.s035.t010	put.v.h.01
d034.s035.t011	opium.n.h.01
d034.s035.t012	coffee.n.h.01
d055.s070.t000	selection.n.h.01
d055.s070.t001	rejection.n.h.01
d055.s070.t002	process.n.h.01 (operation that affects mental or physical contents, a writ issued by authority of law,
d055.s070.t003	come_about.v.h.01
d055.s070.t004	file.n.h.01
d055.s070.t005	read.v.h.01 (interpret something by looking at or obtaining data from a written or printed source)
blaze.v.05_example.0	blaze.v.h.01
senseval2.d001.s026.t000	turn_out.v.h.01
senseval2.d001.s026.t001	study.v.h.01
senseval2.d001.s026.t002	tragic.a.h.01
senseval2.d001.s026.t003	uncommon.a.h.01
senseval2.d001.s026.t005	make.v.h.01 : ['make or cause to be or to become', 'give rise to;
senseval2.d001.s026.t006	possible.a.h.01
senseval2.d001.s026.t007	fundamental.a.h.01
senseval2.d001.s026.t008	insight.n.h.01
senseval2.d001.s026.t009	basic.a.h.01
senseval2.d001.s026.t010	cancer.n.h.02
senseval2.d001.s026.t011	say.v.h.01
senseval2.d001.s026.t012	director.n.h.04
d079.s103.t000	be.v.h.01: ['happen, occur, take place']
d079.s103.t001	good.a.h.01
d079.s103.t002	man.n.h.01
d112.s033.t000	remember.v.h.01
d112.s033.t001	melting_pot.n.h.01
d112.s033.t002	america.n.h.01
d112.s033.t003	100.n.h.01
d112.s033.t004	isolated.a.h.01
d112.s033.t005	isolated.a.h.01
d112.s033.t006	regional.a.h.01
d112.s033.t007	occupational.a.h.01
d112.s033.t008	group.n.h.01
d112.s033.t009	non.r.h.01
d112.s033.t010	fuse.v.h.01
d112.s033.t011	homogeneous.a.h.01
d112.s033.t012	national.a.h.01
d112.s033.t013	unit.n.h.01
d112.s033.t014	long.r.h.01
d112.s033.t015	education.n.h.01
d112.s033.t016	industrial_enterprise.n.h.01
d112.s033.t017	cause.v.h.01
d112.s033.t018	cast_aside.v.h.01
d112.s033.t019	oral.a.h.01
d112.s033.t020	tradition.n.h.01
d112.s033.t021	means.n.h.01
d112.s033.t022	carry.v.h.01: ["transmit or serve as the medium for transmission", "pass on a communication
d112.s033.t023	culturally.r.h.01
d112.s033.t024	significant.a.h.01
d112.s033.t025	material.n.h.02
bound.a.03_example.1	bound.a.h.02
d157.s031.t000	person.n.h.01
d157.s031.t001	compare.v.h.01
d157.s031.t002	person.n.h.01
d157.s031.t003	moses.n.h.01
d157.s031.t004	in_that.c.h.02 : ['consequently, therefore, thus, hence, for that reason']
d157.s031.t005	act.v.h.01
d157.s031.t006	deliver.v.h.01: ['free from harm or evil','save from sins']
d157.s031.t007	oppression.n.h.01
d121.s151.t000	afternoon.n.h.01
d121.s151.t001	pull_up.v.h.01
d121.s151.t002	broken-down.a.h.01
d121.s151.t003	ranch_house.n.h.02 : [['a large farm or cattle-raising estate']]
d121.s151.t004	hope.n.h.02
d121.s151.t005	The corresponding homonym key for the target word "been" in the given sentence is: be.v.h.
d121.s151.t006	high.a.h.05
d097.s177.t000	already.r.h.01
d097.s177.t001	snap_up.v.h.01
d097.s177.t002	dumb.a.h.01
d097.s177.t003	jerk.n.h.01.
d097.s177.t004	person.n.h.01
d097.s177.t005	grin.v.h.01
d097.s177.t006	feel.v.h.01
d097.s177.t007	supremely.r.h.01
d097.s177.t008	thing.n.h.06 : ['any attribute or quality considered as having its own existence', 'a separate and
d097.s177.t009	watch.v.h.01
d097.s177.t010	snow.n.h.02
d097.s177.t011	again.r.h.01
d083.s001.t000	group.n.h.01 : ['any number of entities (members) considered as a unit']
d083.s001.t001	issue.v.h.01
d083.s001.t002	share.n.h.02
d083.s001.t003	stock.n.h.01
d083.s001.t004	10.a.h.02 : ['ten dollars']
d083.s001.t005	apiece.r.h.01
d083.s001.t006	construction.n.h.01
d083.s001.t007	sewer.n.h.01
d083.s001.t008	locality.n.h.01
d083.s001.t009	assessment.n.h.01
d083.s001.t010	make.v.h.01 : ['cause to happen or occur', 'create or manufacture a man-
d083.s001.t011	maintenance.n.h.01
asynchronous_transfer_mode.n.01_example.0	The target word "Atm" in the given sentence refers to the homonym cluster "atm.n.h.
d011.s003.t000	person.n.h.01.Explanation:The word "Gyp" in the context
d011.s003.t001	be.v.h.01: ['happen, occur, take place']
d011.s003.t002	bar.n.h.01.
d011.s003.t003	here.r.h.01
d011.s003.t004	at_all.r.h.01
d011.s003.t005	person.n.h.01.
d011.s003.t006	declare.v.h.01
d011.s003.t007	glance.v.h.01
d011.s003.t008	street.n.h.01
d011.s003.t009	stretch.v.h.01.Explanation: In the context of the sentence, "stretch
d011.s003.t010	leg.n.h.01
d114.s022.t000	church.n.h.01
d114.s022.t001	risk.v.h.01
d114.s022.t002	assume.v.h.01
d114.s022.t003	folly.n.h.01
d114.s022.t004	man.n.h.01
d114.s022.t005	be.v.h.01
d114.s022.t006	dear.a.h.01
d114.s022.t007	god.n.h.01
d114.s022.t008	wisdom.n.h.01
d114.s022.t009	also.r.h.01
d114.s022.t010	commonly.r.h.01
d114.s022.t011	imply.v.h.01
d114.s022.t012	foolishness.n.h.01
d114.s022.t013	god.n.h.01
d114.s022.t014	foolishness.n.h.01
d114.s022.t015	man.n.h.01
d114.s022.t016	be.v.h.01 : ['be identical or equivalent to']
d114.s022.t017	simply.r.h.01
d114.s022.t018	2.a.h.06 : ['two as a number']..Explanation: The hom
d114.s022.t019	way.n.h.01
d114.s022.t020	talk_about.v.h.01
d114.s022.t021	same.a.h.01.Explanation: The word "same" in the given sentence implies
d114.s022.t022	thing.n.h.02 : ['any attribute or quality considered as having its own existence', 'an entity that
d066.s013.t000	salesman.n.h.01
d066.s013.t001	read.v.h.01
d066.s013.t002	paper.n.h.01: ['paper used for writing or printing']
d066.s013.t003	contain.v.h.01
d066.s013.t004	description.n.h.01
d066.s013.t005	product.n.h.01
d146.s066.t000	recognize.v.h.02: ['perceive to be the same', 'be fully aware or cognizant
d146.s066.t001	be.v.h.01: ['happen, occur, take place', 'be identical or equivalent to']
d146.s066.t002	winter.n.h.01
d146.s066.t003	edge.n.h.01
d146.s066.t004	camp.n.h.01
d146.s066.t005	once.r.h.01
d146.s066.t006	stop.v.h.01
d146.s066.t007	reach.v.h.01
d146.s066.t008	down.a.h.01 : ['extending or moving from a higher to a lower place']
d146.s066.t009	hand.n.h.01
d146.s066.t010	touch.v.h.01: ['make physical contact with, come in contact with']
d146.s066.t011	fly.n.h.01
d207.s073.t000	intensify.v.h.01
d207.s073.t001	stay.v.h.01
d108.s050.t000	understand.v.h.01
d108.s050.t001	dad.n.h.01
d147.s022.t000	seedbed.n.h.01
d147.s022.t001	use.v.h.01
d147.s022.t002	good.a.h.01
d147.s022.t003	garden.n.h.01
d147.s022.t004	soil.n.h.01
d147.s022.t005	little.a.h.01
d147.s022.t006	sand.n.h.02
d147.s022.t007	encourage.v.h.01
d147.s022.t008	rooting.n.h.01
d091.s133.t000	come.v.h.01: ['reach or enter a state, relation, condition, use, or position',
d091.s133.t001	say.v.h.01
d091.s133.t002	there.r.h.01
d091.s133.t003	mill.n.h.02
d091.s133.t004	state.n.h.05 : ['the territory occupied by a nation']
d091.s133.t005	employ.v.h.01
d091.s133.t006	5.a.h.05 : ['a digit, the number five']
d091.s133.t007	1000.a.h.01
d091.s133.t008	people.n.h.01
d091.s133.t009	make.v.h.01 : ['create or manufacture a man-made product']
d091.s133.t010	uniform.n.h.01
d091.s133.t011	navy.n.h.01
d218.s006.t000	express.v.h.01.
d218.s006.t001	hire.v.h.01
d218.s006.t002	put_up.v.h.05: ['provide','make available for sale at an auction', '
d218.s006.t003	defray.v.h.01
key.n.02_example.0	key.n.h.01.
d017.s041.t000	case.n.h.02
d017.s041.t001	say.v.h.01: ['express in words','state as one's opinion or judgement;
d017.s041.t002	musical_instrument.n.h.01
d038.s126.t000	hand_in_hand.r.h.01
d038.s126.t001	hope.n.h.02
d038.s126.t002	go_with.v.h.01
d038.s126.t003	thing.n.h.08: ['any attribute or quality considered as having its own existence', 'a persistent ill
d038.s126.t004	terror.n.h.01
d038.s126.t005	apprehension.n.h.01
d123.s022.t000	cubic_decimeter.n.h.01
d123.s022.t001	quantity.n.h.01
d123.s022.t002	low.a.h.01
d123.s022.t003	atomic_number_16.n.h.01
d123.s022.t004	reagent.n.h.01
d123.s022.t005	grade.n.h.02: ['a position on a scale of intensity or amount or quality', 'a number
d123.s022.t006	carbon_tet.n.h.01
d123.s022.t007	saturate.v.h.01
d123.s022.t008	illuminate.v.h.01
d123.s022.t009	about.r.h.01: ['in the area or vicinity', 'imprecise but fairly close to
d123.s022.t010	50.a.h.02 : ['fifty']
d123.s022.t011	hour.n.h.01
d123.s022.t012	1000.a.h.01
d123.s022.t013	w.n.h.03.
d123.s022.t014	atomic_number_74.n.h.01
d123.s022.t015	lamp.n.h.01
d123.s022.t016	distance.n.h.01
d123.s022.t017	a\_couple\_of.a.h.01
d123.s022.t018	inch.n.h.01
rack.v.09_example.0	rack.v.h.01.
d046.s011.t000	child.n.h.01
d046.s011.t001	reading.n.h.04.
d046.s011.t002	score.n.h.01
d046.s011.t003	be.v.h.01: ['happen, occur, take place']
d046.s011.t004	at_least.r.h.01 : ["not less than"]
d046.s011.t005	one.a.h.01
d046.s011.t006	standard_deviation.n.h.01
d046.s011.t007	regression_curve.n.h.01
d046.s011.t008	total.a.h.01
d046.s011.t009	3rd.a.h.01
d046.s011.t010	grade.n.h.05
d046.s011.t011	school.n.h.01
d046.s011.t012	population.n.h.03
d046.s011.t013	consider.v.h.01
d046.s011.t014	nonachiever.n.h.01
d046.s011.t015	purpose.n.h.01
d046.s011.t016	sample.n.h.01
d046.s011.t017	selection.n.h.01
d091.s000.t000	person.n.h.01
d091.s000.t001	sit.v.h.01: ['be seated', 'be in session','sit and travel on the
d091.s000.t002	second.a.h.01
d091.s000.t003	whiskey_on_the_rocks.n.h.01
d091.s000.t004	little.a.h.01
d091.s000.t005	bar.n.h.01.
d091.s000.t006	next.a.h.01
d091.s000.t007	funeral-residence.n.h.01
d091.s000.t008	location.n.h.01
d170.s090.t000	arc.v.h.01
d170.s090.t001	back.n.h.01
d170.s090.t002	upward.r.h.01
d170.s090.t003	make.v.h.01
d170.s090.t004	bridge.n.h.01.
d104.s044.t000	aqueous.a.h.01
d104.s044.t001	suspension.n.h.01
d104.s044.t002	spore.n.h.01
d104.s044.t003	b.n.h.10.
d104.s044.t004	var..n.h.02 : ['(chemistry) a symbol used in a formula to represent a variable']
d104.s044.t005	generally.r.h.01
d104.s044.t006	known.a.h.02 : ['familiar with']
d104.s044.t007	aerosolise.v.h.01
d104.s044.t008	use.v.h.01
d104.s044.t009	commercially.r.h.01
d104.s044.t010	available.a.h.01
d104.s044.t011	nozzle.n.h.01
gag.v.03_example.0	gag.v.h.01.
base.n.18_example.1	base.n.h.01
d148.s026.t000	altercate.v.h.01
d148.s026.t001	aim.n.h.02
d148.s026.t002	school.n.h.01
d148.s026.t003	choice_of_words.n.h.01
d148.s026.t004	curriculum.n.h.01
d141.s167.t000	make.v.h.01
d141.s167.t001	man.n.h.01
d141.s167.t002	put.v.h.01
d029.s044.t000	mimetic.a.h.01
d029.s044.t001	character.n.h.01
d029.s044.t002	imaginative.a.h.01
d029.s044.t003	consciousness.n.h.01
d029.s044.t004	be\_given.v.h.01
d029.s044.t005	express.v.h.01.
d029.s044.t006	presentation.n.h.01
d029.s044.t007	artistic.a.h.01
d029.s044.t008	form.n.h.03: ['the spatial arrangement of something as distinct from its substance', 'an arrangement of
d029.s044.t009	material.n.h.01.Explanation: In the context of the given sentence, "material
d174.s007.t000	be.v.h.01
d174.s007.t001	still.r.h.01
d174.s007.t002	very.r.h.01
d174.s007.t003	big.a.h.01
d174.s007.t004	world.n.h.01
d174.s007.t005	all.a.h.01
d174.s007.t006	modern.a.h.01
d174.s007.t007	cant.n.h.01
d174.s007.t008	on_the_contrary.r.h.01
d002.s091.t000	embrasure.n.h.01 and larboard.n.h.01 are not relevant to the
d002.s091.t001	be.v.h.01: ['occupy a certain position or area; be somewhere', 'happen,
d002.s091.t002	point.n.h.08: a promontory extending out into a large body of water.
d002.s091.t003	foot.n.h.02
d002.s091.t004	high.a.h.01
d002.s091.t005	rise.v.h.01
d002.s091.t006	behind.r.h.01.
d002.s091.t007	precipice.n.h.01
d002.s091.t008	foot.n.h.02
d053.s002.t000	farm_animal.n.h.01
d053.s002.t001	tend.v.h.02
d053.s002.t002	routinely.r.h.01
d123.s066.t000	be.v.h.01 : ['happen, occur, take place']
d123.s066.t001	variation.n.h.01
d123.s066.t002	result.n.h.01
d123.s066.t003	attribute.v.h.01
d123.s066.t004	trace.n.h.01
d123.s066.t005	impurity.n.h.01
d123.s066.t006	variation.n.h.01
d123.s066.t007	wall.n.h.01: ['anything that suggests a wall in structure or function or effect', 'a
d123.s066.t008	effect.n.h.01
d123.s066.t009	photochemical_exchange.n.h.01
d123.s066.t010	gas.n.h.01
d123.s066.t011	phase.n.h.02
d123.s066.t012	be.v.h.01 : ['happen, occur, take place']
d123.s066.t013	sufficiently.r.h.01
d123.s066.t014	reproducible.a.h.01
d123.s066.t015	so.r.h.01: ['from that fact or reason or as a result', 'in truth (o
d123.s066.t016	seem.v.h.01
d123.s066.t017	meaningful.a.h.01
d123.s066.t018	compare.v.h.01
d123.s066.t019	reaction.n.h.01
d123.s066.t020	rate.n.h.01
d123.s066.t021	different.a.h.01
d123.s066.t022	series.n.h.01
d123.s066.t023	reaction.n.h.01
d123.s066.t024	tube.n.h.01
d123.s066.t025	purpose.n.h.01
d123.s066.t026	obtain.v.h.01
d123.s066.t027	information.n.h.01
d123.s066.t028	effect.n.h.01
d123.s066.t029	atomic_number_17.n.h.01
d123.s066.t030	concentration.n.h.01
d123.s066.t031	carbon_tet.n.h.01
d123.s066.t032	concentration.n.h.01
d123.s066.t033	reaction.n.h.01
d123.s066.t034	rate.n.h.01
palatal.a.01_example.1	palatine.a.h.02
d124.s072.t000	person.n.h.01
d124.s072.t001	see.v.h.01: ['imagine; conceive of; see in one's mind']
d124.s072.t002	mind.n.h.01
d124.s072.t003	rest.n.h.01
d124.s072.t004	earth.n.h.01
d124.s072.t005	iceland.n.h.01
d124.s072.t006	greenland.n.h.01
d124.s072.t007	caribbean_island.n.h.01
d124.s072.t008	eastern.a.h.01
d124.s072.t009	half.n.h.01
d124.s072.t010	south_america.n.h.01
d081.s046.t000	heart.n.h.02
d081.s046.t001	aorta.n.h.01
d081.s046.t002	successful.a.h.01
d081.s046.t003	measurement.n.h.01
d081.s046.t004	liver.n.h.01
d081.s046.t005	The correct homonym key for the word "spleen" in the given context is: spleen.n.h
d081.s046.t006	also.r.h.01
d081.s046.t007	make.v.h.01: ['cause to happen or occur', 'create or manufacture a man-
d081.s046.t008	technique.n.h.01
last.n.02_example.0	last.n.h.01
d024.s019.t000	research.n.h.01
d024.s019.t001	development.n.h.01
d024.s019.t002	activity.n.h.01
d024.s019.t003	undertake.v.h.01
d024.s019.t004	interior_secretary.n.h.01
d024.s019.t005	coordinate.v.h.01
d024.s019.t006	conduct.v.h.01
d024.s019.t007	jointly.r.h.01
d024.s019.t008	defense_department.n.h.01
d024.s019.t009	end.n.h.01: ['the point in time at which something ends']
d024.s019.t010	development.n.h.01
d024.s019.t011	act.n.h.01 : ['a legal document codifying the result of deliberations of a committee or society
d024.s019.t012	be.v.h.01
d024.s019.t013	primarily.r.h.01
d024.s019.t014	civil.a.h.01
d024.s019.t015	nature.n.h.03 : ['the natural physical world including plants and animals and landscapes etc.']
d024.s019.t016	contribute.v.h.01
d024.s019.t017	defense.n.h.01
d024.s019.t018	nation.n.h.01
d024.s019.t019	development.n.h.01
d024.s019.t020	be.v.h.01
d024.s019.t021	primarily.r.h.01
d024.s019.t022	military.a.h.01
d024.s019.t023	nature.n.h.03 : ['the natural physical world including plants and animals and landscapes etc.']
d024.s019.t024	practicable.a.h.01
d024.s019.t025	extent.n.h.01
d024.s019.t026	compatible.a.h.01
d024.s019.t027	military.a.h.01
d024.s019.t028	security.n.h.06
d024.s019.t029	requirement.n.h.01
d024.s019.t030	be.v.h.01
d024.s019.t031	available.a.h.01
d024.s019.t032	advance.v.h.01
d024.s019.t033	purpose.n.h.01
d024.s019.t034	act.n.h.01 : ['a legal document codifying the result of deliberations of a committee or society
d024.s019.t035	strengthen.v.h.01
d024.s019.t036	civil.a.h.01
d024.s019.t037	economy.n.h.01
d024.s019.t038	nation.n.h.01
quarrel.v.01_example.1	altercate.v.h.01
d097.s162.t000	man.n.h.01
d097.s162.t001	move.v.h.01
d097.s162.t002	away.r.h.01: ["in a different direction"]
bark.v.04_example.0	The corresponding homonym key for the semantics of the word "barked" in the given sentence is: bark
d154.s037.t000	never.r.h.01
d154.s037.t001	see.v.h.01: ['go to see a place, as for entertainment', 'find out, learn
d154.s037.t002	before.r.h.01.
d154.s037.t003	express.v.h.01.
d154.s037.t004	curiosity.n.h.01
d001.s127.t000	contain.v.h.01
d001.s127.t001	desk.n.h.01
d001.s127.t002	file.n.h.01.
d001.s127.t003	typewriter.n.h.01
d001.s127.t004	stand.n.h.05 : ['a support for displaying various articles']
d001.s127.t005	2.a.h.01
d001.s127.t006	big.a.h.01
d001.s127.t007	leather.n.h.01
d001.s127.t008	armchair.n.h.01
d108.s048.t000	dad.n.h.01
d108.s048.t001	express_joy.v.h.01
d176.s040.t000	group.n.h.01
d176.s040.t001	firmly.r.h.01
d176.s040.t002	book.v.h.01
d176.s040.t003	location.n.h.01
d176.s040.t004	city_of_the_angels.n.h.01
d176.s040.t005	nov.n.h.01
d176.s040.t006	dec.n.h.01
d046.s084.t000	child.n.h.01
d046.s084.t001	suffer.v.h.01
d046.s084.t002	tremendous.a.h.01
d046.s084.t003	disadvantage.n.h.01
d046.s084.t004	only.r.h.01: ['without any others being included or involved']
d046.s084.t005	unstructured.a.h.01
d046.s084.t006	school.n.h.01
d046.s084.t007	perform.v.h.01
d046.s084.t008	as.r.h.01
d046.s084.t009	well.r.h.01 : ["to a suitable or appropriate extent or degree", "favorably; with
d046.s084.t010	better.r.h.01
d046.s084.t011	average.a.h.01
d046.s084.t012	structured.a.h.01
d046.s084.t013	setting.n.h.01
d110.s034.t000	moment.n.h.01
d110.s034.t001	bathroom.n.h.01
d110.s034.t002	door.n.h.01
d110.s034.t003	fly\_open.v.h.01
d110.s034.t004	person.n.h.01
d110.s034.t005	come_out.v.h.01: ['appear or become visible', 'be made known', 'be
d110.s034.t006	face.n.h.01
d110.s034.t007	shaving.n.h.01
d110.s034.t008	hall.n.h.02.
d110.s034.t009	tie.v.h.01
d110.s034.t010	cincture.n.h.01
d110.s034.t011	dressing_gown.n.h.01
d110.s034.t012	go.v.h.01: ['follow a certain course', 'progress by being changed', 'pass, fare
d172.s017.t000	dry.v.h.01
d172.s017.t001	section.n.h.01
d172.s017.t002	fan.n.h.01
d172.s017.t003	fix.v.h.06: ['make ready or suitable or equip in advance for a particular purpose or for some
d172.s017.t004	acetone.n.h.01
d172.s017.t005	dry.v.h.01
d172.s017.t006	indirect.a.h.01
d172.s017.t007	method.n.h.01
d172.s017.t008	section.n.h.01
d172.s017.t009	treat.v.h.01
d172.s017.t010	conjugated.a.h.02 : ['treated with a reagent to form a complex or a conj
d172.s017.t011	undiluted.a.h.01
d172.s017.t012	mention.v.h.01
d172.s017.t013	5.a.h.06 : ['a numeral representing the number five']
d172.s017.t014	30_minutes.n.h.01
d041.s008.t000	weapons_carrier.n.h.02 : ['a person or vessel that carries or transports weapons']
d041.s008.t001	take.v.h.03: travel or go by means of a certain kind of transportation, or a certain route
d041.s008.t002	person.n.h.01
d041.s008.t003	person.n.h.01
d041.s008.t004	person.n.h.01
d041.s008.t005	person.n.h.01
d041.s008.t006	person.n.h.01
d041.s008.t007	2.a.h.01
d041.s008.t008	mile.n.h.02: ['a large distance']
d041.s008.t009	bivouac.n.h.01
d041.s008.t010	area.n.h.05
d041.s008.t011	The corresponding homonym key for the target word "strip" in the given sentence is strip.n.h.03
d083.s053.t000	telegraph_line.n.h.01
d083.s053.t001	person.n.h.01
d083.s053.t002	house.n.h.01
d083.s053.t003	location.n.h.01
d083.s053.t004	location.n.h.01
d083.s053.t005	lumber.n.h.01
d083.s053.t006	job.n.h.02.
d083.s053.t007	near.r.h.01
d083.s053.t008	location.n.h.01
d083.s053.t009	happen, occur, take place, be identical or equivalent to. (be.v.h.01)
d083.s053.t010	up.a.h.01 : ['extending or moving toward a higher place']
d103.s152.t000	man.n.h.01
d103.s152.t001	lean.v.h.01
d103.s152.t002	frail.a.h.01
d103.s152.t003	body.n.h.01: ['an individual 3-dimensional object that has mass and that is distinguishable
d103.s152.t004	person.n.h.01
d103.s152.t005	shoulder.n.h.01
d100.s064.t000	like.a.h.01
d100.s064.t001	bit.n.h.01
d100.s064.t002	shred.n.h.01
d100.s064.t003	previous.a.h.01
d100.s064.t004	conception.n.h.01
d100.s064.t005	find.v.h.02 : ['discover or determine the existence, presence, or fact of','make
d100.s064.t006	utopian.a.h.01
d100.s064.t007	communism.n.h.01
d100.s064.t008	remain.v.h.01
d100.s064.t009	integral.a.h.01
d100.s064.t010	whole.n.h.01
d100.s064.t011	original.a.h.01
d100.s064.t012	new.a.h.01: ['original and of a kind not seen before', 'other than the former one
d100.s064.t013	thing.n.h.07: ['an entity that is not named specifically', 'a separate and self-cont
d031.s066.t000	thus.r.h.01
d031.s066.t001	have.v.h.01
d031.s066.t002	light.a.h.02.
d031.s066.t003	stress.n.h.01
d031.s066.t004	be.v.h.01
d031.s066.t005	conclusion.n.h.01
d031.s066.t006	come.v.h.01
d031.s066.t007	be.v.h.01
d031.s066.t008	conclusion.n.h.01
d031.s066.t009	come.v.h.01
d096.s052.t000	person.n.h.01.
d096.s052.t001	be.v.h.01 : ['happen, occur, take place', 'be identical or equivalent to']
d096.s052.t002	maid.n.h.01
d096.s052.t003	give.v.h.01: ['transfer possession of something concrete or abstract to somebody', 'convey or reveal
d096.s052.t004	envelope.n.h.01
d096.s052.t005	check.n.h.01.
d096.s052.t006	shut.v.h.01
d096.s052.t007	door.n.h.01
d124.s010.t000	believe.v.h.01
d124.s010.t001	be.v.h.01: ['happen, occur, take place']
d124.s010.t002	page.n.h.02.
second.v.01_example.0	second.v.h.01
d074.s043.t000	person.n.h.01
d074.s043.t001	report.v.h.01
d074.s043.t002	man.n.h.01
d074.s043.t003	person.n.h.01
d074.s043.t004	hour.n.h.01
d074.s043.t005	later.r.h.01
d074.s043.t006	back.n.h.01
d074.s043.t007	turn.v.h.01: ['change direction', 'cause to move around an axis or into a new
d074.s043.t008	attack.v.h.01
d074.s043.t009	person.n.h.01.
d074.s043.t010	brandish.v.h.01
d074.s043.t011	weapon.n.h.01
d012.s012.t000	information.n.h.01
d012.s012.t001	furnish.v.h.01
d012.s012.t002	guest.n.h.01
d012.s012.t003	send.v.h.01
d012.s012.t004	oral.a.h.01
d012.s012.t005	broadcast.v.h.01
d012.s012.t006	air_wave.n.h.01
d012.s012.t007	receive.v.h.01
d012.s012.t008	ear.n.h.01
d139.s059.t000	century.n.h.01
d139.s059.t001	man.n.h.01
d139.s059.t002	have.v.h.01
d139.s059.t003	enough.n.h.01
d139.s059.t004	rebuild.v.h.01
d139.s059.t005	fundamental.a.h.01
d139.s059.t006	sense.n.h.01
d139.s059.t007	order.n.h.03
d139.s059.t008	chaos.n.h.01
d110.s014.t000	ordinary.a.h.01
d110.s014.t001	breakfast_table.n.h.01
d110.s014.t002	conversation.n.h.01
d110.s014.t003	happen, occur, take place.
d110.s014.t004	impossible.a.h.01
d110.s014.t005	at_least.r.h.01
d110.s014.t006	be.v.h.01 : ['happen, occur, take place']
d110.s014.t007	able.a.h.01
d110.s014.t008	offer.v.h.01
d110.s014.t009	person.n.h.01
d110.s014.t010	sugar_bowl.n.h.01
d110.s014.t011	sugar.n.h.01
d110.s014.t012	plate.n.h.03
d110.s014.t013	bread_and_butter.n.h.02: ['food made from bread and butter']
d110.s014.t014	person.n.h.01
d110.s014.t015	return.v.h.01: ['give back']
d110.s014.t016	pitcher.n.h.01.
d110.s014.t017	hot.a.h.01: ['used of physical heat; having a high or higher than desirable temperature or
d110.s014.t018	milk.n.h.01
d110.s014.t019	handgrip.n.h.01
d110.s014.t020	first.r.h.01
d185.s026.t000	statistic.n.h.01
d185.s026.t001	hardly.r.h.01: ['almost not']
d185.s026.t002	indicate.v.h.01
d185.s026.t003	group.n.h.01
d185.s026.t004	need.v.h.01
d185.s026.t005	bat.v.h.01.
d185.s026.t006	practice.n.h.02: ['systematic training by multiple repetitions']
d185.s026.t007	person.n.h.01.
d185.s026.t008	also.r.h.01: ['in addition']
d185.s026.t009	turn.v.h.01: ['cause to move around a center so as to show another side of',
d185.s026.t010	manpower.n.h.01
d185.s026.t011	location.n.h.01
d185.s026.t012	yesterday.n.h.01
list.v.04_example.0	The correct answer is: heel.v.h.02. ['tilt to one side'].
school.n.06_example.0	school.n.h.01
semeval2013.d010.s009.t000	peak.n.h.01
semeval2013.d010.s009.t002	goalie.n.h.01
semeval2013.d010.s009.t005	game.n.h.01
semeval2013.d010.s009.t006	british_capital.n.h.01
semeval2013.d010.s009.t007	record.n.h.06: ['an extreme attainment; the best (or worst) performance ever att
semeval2013.d010.s009.t008	goalie.n.h.01
semeval2013.d010.s009.t009	match.n.h.01
d256.s010.t000	be.v.h.01: ['happen, occur, take place']
d256.s010.t001	be.v.h.01: ['have an existence, be extant', 'happen, occur, take
d256.s010.t002	catalog.v.h.01
d256.s010.t003	lie.v.h.01
d256.s010.t004	play.v.h.06 : ['engage in recreational activities rather than work; occupy oneself
d083.s043.t000	wake.n.h.02.
d083.s043.t001	come.v.h.01: ['reach a destination; arrive by movement or progress']
d083.s043.t002	person.n.h.05: ['a person in charge of a particular district or area, especially in relation to
d083.s043.t003	cream.n.h.01
d083.s043.t004	telegraphic.a.h.01
d083.s043.t005	profession.n.h.01
d083.s043.t006	ten.n.h.01
d083.s043.t007	bean_town.n.h.01
d083.s043.t008	best.a.h.01
d083.s043.t009	choose.v.h.01
d083.s043.t010	long.a.h.01: ['primarily temporal sense; being or indicating a relatively great or greater than average
d083.s043.t011	experience.n.h.01
d083.s043.t012	thorough.a.h.01
d083.s043.t013	cognition.n.h.01
d083.s043.t014	golf.n.h.01
d059.s078.t000	bring.v.h.01 : ['cause to happen or to occur as a consequence']
d059.s078.t001	fact.n.h.01
d059.s078.t002	reality.n.h.01
d059.s078.t003	deal.v.h.01: ['take action with respect to (someone or something)', 'come to terms
d059.s078.t004	lie.v.h.02.
d059.s078.t005	non.r.h.01.
d059.s078.t006	field.n.h.05 : ['a branch of knowledge']
d059.s078.t007	civil.a.h.01
d059.s078.t008	legislation.n.h.01
d059.s078.t009	realms.n.h.01
d059.s078.t010	conscience.n.h.01
d059.s078.t011	religion.n.h.01
d059.s078.t012	be.v.h.01 : ['happen, occur, take place']
d059.s078.t013	judgement.n.h.01: ['an opinion formed by judging something', 'the cognitive process of reaching
d059.s078.t014	matter.n.h.03 : ['a problem','something that has to be done']Explan
d059.s078.t015	theological.a.h.01
d110.s005.t000	several.a.h.01
d110.s005.t001	section.n.h.01
d110.s005.t002	loaf.n.h.01
d110.s005.t003	dark_bread.n.h.02 : ['bread with a dark color']
d110.s005.t004	butter.n.h.01
d110.s005.t005	jam.n.h.02
d110.s005.t006	bantam.a.h.01
