ID,SENTENCE,COARSE_PRED,FILTERED_FINE_CANDIDATES,FINE_PRED,FINE_LABELS,FINE_CANDIDATES
semcor_d181.s059,"For preparative ultracentrifugation , fractions from the column were concentrated by negative pressure dialysis to volumes of 1 ml or less , transferred to cellulose tubes and diluted to 12 ml with isotonic saline . Ultracentrifugation was then carried out in a Spinco model L ultracentrifuge at 40000 rpm for 125 to 150 <<<min>>> , refrigeration being used throughout the run .",min.n.h.03,['minute.n.01'],minute.n.01,['minute.n.01'],"['minute.n.01', 'min.n.02', 'min.n.03']"
semcor_d020.s091,As a restatement it makes only a small contribution to knowledge of Igbo . But it would seem more intended as a <<<tract>>> advocating the prosodic theory than a paper directed to the specific problems of Igbo phonology .,tract.n.h.02,['tract.n.03'],tract.n.03,['tract.n.03'],"['tract.n.01', 'tract.n.02', 'tract.n.03', 'nerve_pathway.n.01']"
seal.n.03_example.0,A coat of <<<seal>>> .,seal.n.h.03,"['seal.n.03', 'seal.n.09']",seal.n.03,['seal.n.03'],"['sealing_wax.n.01', 'seal.n.02', 'seal.n.03', 'navy_seal.n.01', 'seal.n.05', 'cachet.n.01', 'seal.n.07', 'seal.n.08', 'seal.n.09']"
second.v.02_example.0,The officer was <<<seconded>>> for duty overseas .,second.v.h.02,['second.v.02'],second.v.02,['second.v.02'],"['second.v.01', 'second.v.02']"
semcor_d122.s003,"For a moment , boy and mount hung in midair . Stevie twisted and , frantically , commanded the <<<mare>>> to leap straight ahead .",female_horse.n.h.01,['mare.n.01'],mare.n.01,['mare.n.01'],"['mare.n.01', 'mare.n.02']"
parity.n.01_example.1,A <<<bipara>>> is a woman who has given birth to two children .,para.n.h.03,['parity.n.01'],parity.n.01,['parity.n.01'],"['parity.n.01', 'para.n.02', 'paratrooper.n.01', 'para.n.04', 'belem.n.01']"
fawn.v.03_example.0,Deer <<<fawn>>> .,fawn.v.h.01,['fawn.v.03'],fawn.v.03,['fawn.v.03'],"['fawn.v.01', 'fawn.v.02', 'fawn.v.03']"
semcor_d175.s121,"The clapping they made on the concrete interrupted him in the ecstatic pleasure he knew , so that he quickly released his hold on the goat and pretended to be examining its haunches for <<<ticks>>> .",tick.n.h.02,['tick.n.02'],tick.n.02,['tick.n.02'],"['tick.n.01', 'tick.n.02', 'check_mark.n.01', 'tick.n.04']"
mesic.a.02_example.0,<<<Mesic>>> habitats .,mesic.a.h.01,['mesic.a.02'],mesic.a.02,['mesic.a.02'],"['mesonic.a.01', 'mesic.a.02']"
semcor_d145.s064,At 100 Amp the 360 cycle ripple was less than 0.5 V ( peak to peak ) with a resistive load . The current was regulated by means of a variable resistor and measured with a 50 <<<mV>>> shunt and millivoltmeter .,millivolt.n.h.01,['millivolt.n.01'],millivolt.n.01,['millivolt.n.01'],"['millivolt.n.01', 'mendelevium.n.01']"
lag.v.04_example.0,<<<Lag>>> pipes .,lag.v.h.02,['lag.v.04'],lag.v.04,['lag.v.04'],"['lag.v.01', 'imprison.v.01', 'lag.v.03', 'lag.v.04']"
rick.v.01_example.0,<<<Rick>>> hay .,rick.v.h.01,['rick.v.01'],rick.v.01,['rick.v.01'],"['rick.v.01', 'twist.v.10']"
semcor_d120.s066,"If such a paragon of perfection as Palmer could commit such a scoring sacrilege , there was hope left for all . It was neither a spirit of self-sacrifice nor a <<<yen>>> to encourage the downtrodden that motivated Arnold .",hankering.n.h.01,['hankering.n.01'],hankering.n.01,['hankering.n.01'],"['hankering.n.01', 'yen.n.02']"
semcor_d032.s142,"Now he broke them open , hoping a good meal might lessen this depression crushing Hettie . His long nose wiggled at the smells of <<<frizzling>>> bacon and heating java , but the fire was low , and he wanted to waste no time .",frizzle.v.h.01,['frizzle.v.01'],frizzle.v.01,['frizzle.v.01'],"['frizzle.v.01', 'crimp.v.02']"
ice_rink.n.01_example.0,The crowd applauded when she skated out onto the <<<ice>>> .,ice-skating_rink.n.h.01,['ice_rink.n.01'],ice_rink.n.01,['ice_rink.n.01'],"['ice.n.01', 'ice.n.02', 'ice.n.03', 'frosting.n.01', 'ice.n.05', 'methamphetamine.n.01', 'internal-combustion_engine.n.01', 'ice_rink.n.01']"
semcor_d102.s011,"In representing part of this new picture , I will be recounting some of my own personal experiences , reactions and judgments ; but my primary aim is to transcribe what Englishmen themselves are saying and writing and implying about the Roman and Anglican Churches and about the present religious state of England . Since the Protestant clergy for the most part wear <<<gray>>> or some variant from the wholly black suit , my Roman collar and black garb usually identify me in England as a Roman Catholic cleric .",gray.n.h.05,['grey.n.06'],grey.n.06,['grey.n.06'],"['gray.n.01', 'grey.n.06', 'grey.n.04', 'grey.n.07', 'gray.n.05', 'gray.n.06', 'gray.n.07', 'gray.n.08', 'gray.n.09']"
tend.v.02_example.0,She <<<tends>>> to the children .,tend.v.h.02,"['tend.v.02', 'tend.v.03']",tend.v.02,['tend.v.02'],"['tend.v.01', 'tend.v.02', 'tend.v.03']"
express.s.01_example.0,Her <<<express>>> wish .,express.a.h.02,['express.s.01'],express.s.01,['express.s.01'],"['express.s.01', 'express.s.02']"
semcor_d103.s194,"To confess with a canvas chair as a prie-dieu , gouging at his heart until a rough and stupid hand bade him rise and go ? Men were slaughtered every day , tumbled into eternity like so many torn parcels flung down a portable <<<chute>>> .",chute.n.h.01,['chute.n.02'],chute.n.02,['chute.n.02'],"['parachute.n.01', 'chute.n.02']"
shock.n.08_example.0,He had an unruly <<<shock>>> of black hair .,shock.n.h.03,['shock.n.08'],shock.n.08,['shock.n.08'],"['daze.n.01', 'shock.n.02', 'electric_shock.n.03', 'shock.n.04', 'shock.n.05', 'shock.n.06', 'shock.n.07', 'shock.n.08', 'jolt.n.01', 'shock_absorber.n.01']"
semcor_d061.s003,"Bursting from the lips of a charging cavalry trooper was the last sound heard on this earth by untold numbers of <<<Cheyennes>>> , Sioux and Apaches , Mexican banditos under Pancho Villa , Japanese in the South Pacific , and Chinese and North Korean Communists in Korea .",cheyenne.n.h.02,"['cheyenne.n.02', 'cheyenne.n.03']",cheyenne.n.02,['cheyenne.n.02'],"['cheyenne.n.01', 'cheyenne.n.02', 'cheyenne.n.03']"
semcor_d094.s040,"The gross details of the structure appear reasonable . The structure appears to be unique among ROOH <<<compounds>>> , but is the same as that assumed by **f .",compound.n.h.01,"['compound.n.01', 'compound.n.02']",compound.n.02,['compound.n.02'],"['compound.n.01', 'compound.n.02', 'compound.n.03']"
semblance.n.01_example.1,He tried to give his falsehood the <<<gloss>>> of moral sanction .,gloss.n.h.01,"['polish.n.01', 'semblance.n.01']",semblance.n.01,['semblance.n.01'],"['gloss.n.01', 'glossary.n.01', 'polish.n.01', 'semblance.n.01']"
semcor_d083.s001,"The plant was located west of the Battenkill and south of the location of the former electric light plant . The Manchester Depot Sewer Company issued 214 shares of stock at $ 10 each for construction of a <<<sewer>>> in that locality , and assessments were made for its maintenance .",sewer.n.h.01,['sewer.n.01'],sewer.n.01,['sewer.n.01'],"['sewer.n.01', 'sewer.n.02', 'gutter.n.02']"
