d058.s043.t000	shelter.n.h.01.
d177.s056.t004	water.n.h.01.
d177.s056.t005	day.n.h.02.
d177.s056.t006	detest.v.h.01.
d177.s056.t007	sea.n.h.02.
d080.s028.t000	secretary_of_the_treasury.n.h.01.
d080.s028.t001	comptroller_general.n.h.01.
d080.s028.t002	u.s..n.h.01.
d080.s028.t003	case.n.h.01.
d080.s028.t004	be.v.h.01.
d080.s028.t005	find.v.h.01.
d080.s028.t006	person.n.h.01.
d080.s028.t007	be.v.h.01.
d080.s028.t008	entitled.a.h.01.
d080.s028.t009	payment.n.h.01.
d080.s028.t010	payment.n.h.01.
d080.s028.t011	receive.v.h.01.
d080.s028.t012	person.n.h.01.
d080.s028.t013	be.v.h.01.
d080.s028.t014	absolute.a.h.01.
d080.s028.t015	bar.n.h.01.
d080.s028.t016	recovery.n.h.01.
d080.s028.t017	other.a.h.01.
d080.s028.t018	person.n.h.01.
d080.s028.t019	u.s..n.h.01.
d080.s028.t020	officer.n.h.01.
d080.s028.t021	agent.n.h.01.
d080.s028.t022	employee.n.h.01.
d080.s028.t023	payment.n.h.01.
d105.s058.t000	retention.n.h.01.
d105.s058.t001	period.n.h.01.
d105.s058.t002	aerated.a.h.01.
d105.s058.t003	lagoon.n.h.01.
d105.s058.t004	range.v.h.01.
d105.s058.t005	day.n.h.02.
d105.s058.t006	average.v.h.01.
d105.s058.t007	day.n.h.02.
d125.s035.t000	good.a.h.01.
d125.s035.t001	feeling.n.h.01.
d125.s035.t002	prevail.v.h.01.
d125.s035.t003	group.n.h.01.
d125.s035.t004	coach.v.h.02.
d125.s035.t005	staff.n.h.01.
d125.s035.t006	monday.n.h.01.
d125.s035.t007	attention.n.h.01.
d125.s035.t008	quickly.r.h.01.
d125.s035.t009	turn.v.h.01.
d125.s035.t010	sabbatum.n.h.01.
d125.s035.t011	victory.n.h.02.
d125.s035.t012	next.a.h.01.
d125.s035.t013	week.n.h.01.
d125.s035.t014	problem.n.h.01.
d125.s035.t015	group.n.h.01.
d215.s034.t000	pick_up.v.h.01.
d215.s034.t001	bark.v.h.01.
d030.s016.t000	influence.n.h.01.
d030.s016.t001	mass.n.h.02.
d030.s016.t002	be.v.h.01.
d030.s016.t003	less.r.h.01.
d030.s016.t004	congested.a.h.01.
d030.s016.t005	tenement.n.h.01.
d030.s016.t006	bawdyhouse.n.h.01.
d030.s016.t007	honkytonk.n.h.01.
d030.s016.t008	sawdust_saloon.n.h.01.
d030.s016.t009	birthplace.n.h.01.
d030.s016.t010	run.v.h.01.
d030.s016.t011	wild.r.h.01.
d030.s016.t012	child.n.h.01.
d030.s016.t013	gang.n.h.01.
d030.s016.t014	neighbourhood.n.h.01.
d030.s016.t015	go_through.v.h.01.
d030.s016.t016	normal.a.h.01.
d030.s016.t017	course.n.h.02.
d030.s016.t018	larceny.n.h.01.
d030.s016.t019	constabulary.n.h.01.
d030.s016.t020	dodging.n.h.01.
d030.s016.t021	break-in.n.h.01.
senseval2.d001.s038.t000	theorize.v.h.01.
senseval2.d001.s038.t001	eye.n.h.01.
senseval2.d001.s038.t002	cancer.n.h.02.
senseval2.d001.s038.t004	inherit.v.h.01.
senseval2.d001.s038.t005	damaged.a.h.01.
senseval2.d001.s038.t006	copy.n.h.01.
senseval2.d001.s038.t008	parent.n.h.01.
senseval2.d001.s038.t009	normal.a.h.01.
senseval2.d001.s038.t010	copy.n.h.01.
d102.s016.t000	pile.v.h.01.
d102.s016.t001	guy.n.h.02.
d102.s016.t002	balefire.n.h.01.
d102.s016.t003	tomorrow.n.h.01.
d102.s016.t004	night.n.h.01.
d102.s016.t005	wonder.v.h.01.
d102.s016.t006	much.a.h.01.
d102.s016.t007	true.a.h.01.
d102.s016.t008	story.n.h.01.
d102.s016.t009	person.n.h.01.
d102.s016.t010	remember.v.h.01.
d153.s077.t000	person.n.h.01.
d153.s077.t001	return.v.h.01.
d153.s077.t002	hotel.n.h.01.
d153.s077.t003	rather.r.h.01.
d153.s077.t004	aweary.a.h.01.
d153.s077.t005	new.a.h.01.
d153.s077.t006	prospect.n.h.01.
d153.s077.t007	role.n.h.01.
d153.s077.t008	late.a.h.01.
d153.s077.t009	afternoon.n.h.01.
d153.s077.t010	find.v.h.01.
d153.s077.t011	doctor.n.h.01.
d153.s077.t012	ebullient.a.h.01.
d153.s077.t013	mood.n.h.01.
d174.s176.t000	all.a.h.01.
d174.s176.t001	king.n.h.06.
d174.s176.t002	horse.n.h.01.
d174.s176.t003	all.a.h.01.
d174.s176.t004	king.n.h.06.
d174.s176.t005	man.n.h.01.
d106.s003.t000	theorem.n.h.01.
d106.s003.t001	be.v.h.01.
d106.s003.t002	similar.a.h.01.
d106.s003.t003	theorem.n.h.01.
d106.s003.t004	person.n.h.01.
d106.s003.t005	exist.v.h.01.
d106.s003.t006	circumscribe.v.h.01.
d106.s003.t007	cube.n.h.01.
d106.s003.t008	closed.a.h.01.
d106.s003.t009	bounded.a.h.01.
d106.s003.t010	convex.a.h.01.
d106.s003.t011	set.n.h.01.
d094.s012.t000	appear.v.h.01.
d094.s012.t001	be.v.h.01.
d094.s012.t002	well.r.h.01.
d094.s012.t003	suited.a.h.01.
d094.s012.t004	study.n.h.01.
d094.s012.t005	matter.n.h.01.
d094.s012.t006	be.v.h.01.
d094.s012.t007	normal.a.h.01.
d094.s012.t008	paramagnet.n.h.01.
d094.s012.t009	3.a.h.01.
d094.s012.t010	unpaired.a.h.01.
d094.s012.t011	electron.n.h.01.
d094.s012.t012	atomic_number_24.n.h.01.
d094.s012.t013	crystal.n.h.01.
d094.s012.t014	structure.n.h.01.
d094.s012.t015	be.v.h.01.
d094.s012.t016	very.r.h.01.
d094.s012.t017	simple.a.h.01.
d094.s012.t018	unknown.a.h.01.
d094.s012.t019	position.n.h.01.
d094.s012.t020	atomic_number_1.n.h.01.
d094.s012.t021	strong.a.h.01.
d094.s012.t022	bond.n.h.03.
d094.s012.t023	provide.v.h.01.
d094.s012.t024	structural.a.h.01.
d094.s012.t025	interest.n.h.01.
d314.s022.t000	express.v.h.01.
punt.n.03_example.0	punt.n.h.02.
scale.n.03_example.1	scale.n.h.03.
d048.s027.t000	guidance.n.h.01.
d048.s027.t001	give.v.h.01.
d048.s027.t002	court.n.h.01.
d048.s027.t003	discharge.v.h.01.
d048.s027.t004	task.n.h.01.
d048.s027.t005	commit.v.h.01.
d048.s027.t006	be.v.h.01.
d048.s027.t007	judgement.n.h.01.
d048.s027.t008	therefore.r.h.01.
d048.s027.t009	reverse.v.h.01.
d048.s027.t010	case.n.h.01.
d048.s027.t011	remand.v.h.01.
d048.s027.t012	group.n.h.01.
d048.s027.t013	determination.n.h.01.
d048.s027.t014	hearing.n.h.01.
d048.s027.t015	equitable.a.h.01.
d048.s027.t016	relief.n.h.01.
d048.s027.t017	necessary.a.h.01.
d048.s027.t018	appropriate.a.h.01.
d048.s027.t019	public.a.h.01.
d048.s027.t020	interest.n.h.01.
d048.s027.t021	eliminate.v.h.01.
d048.s027.t022	effect.n.h.01.
d048.s027.t023	acquisition.n.h.01.
d048.s027.t024	offensive.a.h.01.
d048.s027.t025	legislative_act.n.h.01.
d023.s066.t000	reach_out.v.h.01.
d023.s066.t001	pull.v.h.01.
d023.s066.t002	door.n.h.01.
d023.s066.t003	shut.a.h.01.
d023.s066.t004	fasten.v.h.01.
d023.s066.t005	sliding.a.h.01.
d023.s066.t006	bolt.n.h.01.
senseval3.d002.s081.t001	phone.n.h.01.
senseval3.d002.s081.t002	mess.n.h.01.
senseval3.d002.s081.t004	wine.n.h.01.
senseval3.d002.s081.t005	floor.n.h.01.
senseval3.d002.s081.t006	big.a.h.01.
senseval3.d002.s081.t007	old.a.h.01.
d168.s020.t000	aristocort.n.h.01.
d168.s020.t001	16.a.h.01.
d168.s020.t002	mg.n.h.03.
d168.s020.t003	daily.r.h.01.
d168.s020.t004	resume.v.h.01.
d168.s020.t005	maintain.v.h.01.
d168.s020.t006	feb.n.h.01.
d031.s054.t000	hunger.n.h.01.
d031.s054.t001	stimulate.v.h.01.
d031.s054.t002	man.n.h.01.
d031.s054.t003	too.r.h.01.
d031.s054.t004	situation.n.h.01.
d031.s054.t005	be.v.h.01.
d031.s054.t006	very.r.h.01.
d031.s054.t007	similar.a.h.01.
d051.s036.t000	fuzzy.a.h.01.
d051.s036.t001	caterpillar.n.h.01.
d051.s036.t002	snail.n.h.01.
d051.s036.t003	sensitive.a.h.01.
d051.s036.t004	horn.n.h.01.
d051.s036.t005	struggling.a.h.01.
d051.s036.t006	grasshopper.n.h.01.
d051.s036.t007	hold.v.h.01.
d051.s036.t008	long.a.h.01.
d051.s036.t009	hind_leg.n.h.01.
d051.s036.t010	command.v.h.01.
d051.s036.t011	spit.v.h.01.
d051.s036.t012	tobacco.n.h.01.
d051.s036.t013	spit.v.h.01.
d159.s014.t000	light.a.h.01.
d159.s014.t001	industry.n.h.01.
d159.s014.t002	economy.n.h.01.
d159.s014.t003	be.v.h.01.
d159.s014.t004	one.a.h.01.
d159.s014.t005	floor.n.h.01.
d159.s014.t006	be.v.h.01.
d159.s014.t007	much.r.h.01.
d159.s014.t008	efficiency_engineer.n.h.01.
d159.s014.t009	commonly.r.h.01.
d159.s014.t010	believe_in.v.h.01.
d159.s014.t011	manufacturer.n.h.01.
d159.s014.t012	look_for.v.h.01.
d159.s014.t013	way.n.h.01.
d159.s014.t014	cut.v.h.01.
d159.s014.t015	cost.n.h.01.
d159.s014.t016	prevent.v.h.01.
d159.s014.t017	efficiency_engineer.n.h.01.
d134.s030.t000	very.r.h.01.
d134.s030.t001	front.a.h.01.
d134.s030.t002	rank.n.h.02.
d134.s030.t003	2.a.h.01.
d134.s030.t004	man.n.h.01.
d134.s030.t005	be.v.h.01.
d134.s030.t006	wounded.a.h.01.
d134.s030.t007	stagger.v.h.01.
d134.s030.t008	along.r.h.01.
d134.s030.t009	trail.v.h.01.
d134.s030.t010	blood.n.h.02.
d068.s103.t000	ditch.n.h.01.
d068.s103.t001	sand.n.h.02.
d068.s103.t002	be.v.h.01.
d068.s103.t003	white.a.h.01.
d068.s103.t004	soft.a.h.01.
d068.s103.t005	looking.a.h.01.
d068.s103.t006	only.r.h.01.
d068.s103.t007	occasional.a.h.01.
d068.s103.t008	pebble.n.h.01.
d068.s103.t009	discernible.a.h.01.
d068.s103.t010	faintly.r.h.01.
d068.s103.t011	agleam.a.h.01.
d101.s019.t000	angry.a.h.01.
d101.s019.t001	young_man.n.h.01.
d101.s019.t002	newport.n.h.02.
d101.s019.t003	last.a.h.01.
d101.s019.t004	night.n.h.01.
d101.s019.t005	be.v.h.01.
d101.s019.t006	group.n.h.01.
d101.s019.t007	open.v.h.01.
d101.s019.t008	jazz_festival.n.h.01.
d101.s019.t009	close.v.h.01.
d124.s119.t000	member.n.h.01.
d124.s119.t001	then.r.h.01.
d124.s119.t002	dethaw.v.h.01.
d124.s119.t003	rest.n.h.01.
d124.s119.t004	personnel.n.h.01.
d118.s048.t000	sure.a.h.01.
d118.s048.t001	way.n.h.01.
d118.s048.t002	tell_apart.v.h.01.
d118.s048.t003	victim.n.h.01.
d118.s048.t004	villain.n.h.01.
d118.s048.t005	be.v.h.01.
d118.s048.t006	examine.v.h.01.
d118.s048.t007	hind_leg.n.h.01.
d118.s048.t008	case.n.h.01.
d118.s048.t009	do-nothing.n.h.01.
d118.s048.t010	genus_psithyrus.n.h.01.
d118.s048.t011	lack.v.h.01.
d118.s048.t012	pollen.n.h.01.
d118.s048.t013	basket.n.h.01.
d118.s048.t014	naturally.r.h.01.
d060.s045.t000	check.n.h.01.
d060.s045.t001	be.v.h.01.
d060.s045.t002	certify.v.h.01.
d060.s045.t003	uncertified.a.h.01.
d060.s045.t004	revenue_enhancement.n.h.01.
d060.s045.t005	non.r.h.01.
d060.s045.t006	pay.v.h.01.
d060.s045.t007	check.n.h.01.
d060.s045.t008	pay.v.h.01.
d087.s050.t000	be.v.h.01.
d087.s050.t001	non.r.h.01.
d087.s050.t002	pole.n.h.01.
d185.s019.t000	mean.v.h.01.
d185.s019.t001	person.n.h.01.
d185.s019.t002	probably.r.h.01.
d185.s019.t003	ride_the_bench.v.h.01.
d185.s019.t004	7th.a.h.01.
d185.s019.t005	anniversary.n.h.01.
d185.s019.t006	5.a.h.01.
d185.s019.t007	home_run.n.h.01.
d185.s019.t008	day.n.h.02.
d185.s019.t009	group.n.h.01.
d123.s054.t000	set.n.h.01.
d123.s054.t001	reaction.n.h.01.
d123.s054.t002	tube.n.h.01.
d123.s054.t003	contain.v.h.01.
d123.s054.t004	atmosphere.n.h.03.
d123.s054.t005	atomic_number_8.n.h.01.
d123.s054.t006	case.n.h.01.
d123.s054.t007	moisture.n.h.01.
d123.s054.t008	give.v.h.01.
d123.s054.t009	reaction.n.h.01.
d123.s054.t010	rate.n.h.01.
d123.s054.t011	range.n.h.01.
d123.s054.t012	atomic_number_17.n.h.01.
d123.s054.t013	exchange.v.h.01.
d123.s054.t014	hour.n.h.01.
d056.s094.t000	antianxiety_agent.n.h.01.
d056.s094.t001	feed.v.h.01.
d056.s094.t002	bos_taurus.n.h.01.
d056.s094.t003	lactating.a.h.01.
d056.s094.t004	dairy_cattle.n.h.01.
d056.s094.t005	subject.v.h.01.
d056.s094.t006	stress.n.h.01.
d056.s094.t007	condition.n.h.01.
d056.s094.t008	inoculating.n.h.01.
d056.s094.t009	shipping.n.h.01.
d056.s094.t010	weaning.n.h.01.
d056.s094.t011	calf.n.h.01.
d056.s094.t012	excessive.a.h.01.
d056.s094.t013	handling.n.h.01.
d062.s083.t000	sound.v.h.01.
d062.s083.t001	great.a.h.01.
d062.s083.t002	say.v.h.01.
d062.s083.t003	suppose.v.h.01.
d062.s083.t004	think_of.v.h.01.
d062.s083.t005	impressionist.a.h.01.
d062.s083.t006	painter.n.h.01.
d171.s091.t000	person.n.h.01.
d171.s091.t001	ease.v.h.01.
d171.s091.t002	rifle.n.h.01.
d171.s091.t003	safety.n.h.01.
d171.s091.t004	off.a.h.01.
d171.s091.t005	gently.r.h.01.
d171.s091.t006	slowly.r.h.01.
d171.s091.t007	sneak.v.h.01.
d171.s091.t008	clip.n.h.01.
d171.s091.t009	ammunition.n.h.01.
d171.s091.t010	cloth.n.h.01.
d171.s091.t011	bandoleer.n.h.01.
d171.s091.t012	mark.v.h.01.
d171.s091.t013	upper.a.h.01.
d171.s091.t014	part.n.h.01.
d171.s091.t015	body.n.h.01.
d095.s063.t000	even.r.h.01.
d095.s063.t001	intensity.n.h.01.
d095.s063.t002	shock.n.h.01.
d095.s063.t003	increase.v.h.01.
d095.s063.t004	gradually.r.h.01.
d095.s063.t005	fail.v.h.01.
d095.s063.t006	evoke.v.h.01.
d095.s063.t007	any.a.h.01.
d095.s063.t008	sign.n.h.01.
d095.s063.t009	pain.n.h.01.
d040.s016.t000	person.n.h.01.
d040.s016.t001	peer.v.h.01.
d040.s016.t002	half.r.h.01.
d040.s016.t003	closed.a.h.01.
d040.s016.t004	lid.n.h.01.
d040.s016.t005	reflection.n.h.05.
d040.s016.t006	thrust.v.h.01.
d040.s016.t007	up.r.h.01.
d040.s016.t008	chin.n.h.02.
d040.s016.t009	gesture.n.h.01.
d040.s016.t010	satisfaction.n.h.01.
d040.s016.t011	about-face.v.h.01.
d051.s040.t000	collect.v.h.01.
d051.s040.t001	lucky.a.h.01.
d051.s040.t002	stone.n.h.02.
d051.s040.t003	creamy.a.h.01.
d051.s040.t004	semitransparent.a.h.01.
d051.s040.t005	pebble.n.h.01.
d051.s040.t006	wear.v.h.01.
d051.s040.t007	smooth.a.h.01.
d051.s040.t008	round.a.h.01.
d051.s040.t009	find.v.h.01.
d051.s040.t010	driveway.n.h.01.
d033.s073.t000	school.n.h.01.
d033.s073.t001	district.n.h.01.
d033.s073.t002	be.v.h.01.
d033.s073.t003	hard-pressed.a.h.01.
d033.s073.t004	financially.r.h.01.
d033.s073.t005	unenthusiastic.a.h.01.
d033.s073.t006	vocational.a.h.01.
d033.s073.t007	training.n.h.01.
d026.s047.t000	creative.a.h.01.
d026.s047.t001	development.n.h.01.
d026.s047.t002	melodic.a.h.01.
d026.s047.t003	design.n.h.01.
d026.s047.t004	slavic.n.h.01.
d026.s047.t005	dance.n.h.01.
d026.s047.t006	tune.n.h.01.
d026.s047.t007	love.n.h.01.
d026.s047.t008	song.n.h.02.
d026.s047.t009	be.v.h.01.
d026.s047.t010	bewitching.a.h.01.
d026.s047.t011	witty.a.h.01.
riddle.v.01_example.0	riddle.v.h.02.
d177.s098.t000	be.v.h.01.
d177.s098.t001	day.n.h.02.
d177.s098.t002	person.n.h.01.
d177.s098.t003	unexpected.a.h.01.
d177.s098.t004	grandiose.a.h.01.
d177.s098.t005	gesture.n.h.01.
d177.s098.t006	fork_out.v.h.01.
d177.s098.t007	pretty.a.h.01.
d177.s098.t008	sloop.n.h.01.
d177.s098.t009	person.n.h.01.
d177.s098.t010	for_keeps.r.h.01.
d177.s098.t011	never.r.h.01.
d177.s098.t012	fail.v.h.01.
d177.s098.t013	let.v.h.01.
d177.s098.t014	brother.n.h.01.
d177.s098.t015	accompany.v.h.01.
d177.s098.t016	jr..a.h.01.
d177.s098.t017	boy.n.h.01.
d177.s098.t018	wish.v.h.01.
d012.s065.t000	type.n.h.01.
d012.s065.t001	message.n.h.01.
d012.s065.t002	list.v.h.01.
d012.s065.t003	table.n.h.01.
d012.s065.t004	command.n.h.01.
d012.s065.t005	statement.n.h.01.
d012.s065.t006	be.v.h.01.
d012.s065.t007	send.v.h.01.
d012.s065.t008	vertical.a.h.01.
d012.s065.t009	network.n.h.01.
d012.s065.t010	figure.n.h.01.
d053.s071.t000	look_for.v.h.01.
d053.s071.t001	farm.n.h.01.
d053.s071.t002	know.v.h.01.
d053.s071.t003	1.n.h.01.
d053.s071.t004	kind.n.h.01.
d053.s071.t005	scale.n.h.03.
d053.s071.t006	farming.n.h.01.
d053.s071.t007	undertake.v.h.01.
d053.s071.t008	2.n.h.01.
d053.s071.t009	buy.v.h.01.
d053.s071.t010	lease.v.h.01.
tap.v.03_example.0	tap.v.h.02.
d183.s079.t000	sit.v.h.01.
d183.s079.t001	slender-waisted.a.h.01.
d183.s079.t002	spare.a.h.01.
d183.s079.t003	edge.n.h.01.
d183.s079.t004	person.n.h.01.
d183.s079.t005	bed.n.h.02.
d183.s079.t006	leg.n.h.01.
d183.s079.t007	cross.v.h.01.
d183.s079.t008	so.r.h.01.
d183.s079.t009	elaborately.r.h.01.
d183.s079.t010	crossed.a.h.01.
d183.s079.t011	foot.n.h.01.
d183.s079.t012	tap.v.h.02.
d183.s079.t013	floor.n.h.01.
d120.s027.t000	person.n.h.01.
d120.s027.t001	recognize.v.h.01.
d120.s027.t002	meritable.a.h.01.
d120.s027.t003	service.n.h.01.
d120.s027.t004	baseball.n.h.01.
d120.s027.t005	get.v.h.01.
d225.s017.t000	wish.v.h.01.
d225.s017.t001	express.v.h.01.
d225.s017.t002	ask.v.h.01.
d167.s052.t000	as_a_matter_of_fact.r.h.01.
d167.s052.t001	incorrect.a.h.01.
d167.s052.t002	classification.n.h.01.
d167.s052.t003	result.n.h.01.
d167.s052.t004	many.a.h.01.
d167.s052.t005	week.n.h.01.
d167.s052.t006	labor.n.h.01.
d167.s052.t007	person.n.h.01.
d167.s052.t008	publish.v.h.01.
d167.s052.t009	following.a.h.01.
d167.s052.t010	day.n.h.02.
d009.s083.t000	petitioner.n.h.01.
d009.s083.t001	know.v.h.01.
d009.s083.t002	group.n.h.01.
d009.s083.t003	recommendation.n.h.01.
d009.s083.t004	base.v.h.01.
d009.s083.t005	non.r.h.01.
d009.s083.t006	hearing_examiner.n.h.01.
d009.s083.t007	report.n.h.01.
d009.s083.t008	statement.n.h.01.
d009.s083.t009	board.n.h.01.
d009.s083.t010	file.n.h.01.
d012.s044.t000	command.n.h.01.
d012.s044.t001	go.v.h.01.
d012.s044.t002	only.r.h.01.
d012.s044.t003	officer.n.h.01.
d012.s044.t004	man.n.h.01.
d012.s044.t005	near.a.h.01.
d012.s044.t006	lower_rank.n.h.01.
d021.s068.t000	person.n.h.01.
d021.s068.t001	understand.v.h.01.
d021.s068.t002	better.r.h.01.
d021.s068.t003	most.a.h.01.
d021.s068.t004	say.v.h.01.
d021.s068.t005	second.a.h.01.
d021.s068.t006	inaugural.n.h.01.
d021.s068.t007	god.n.h.01.
d021.s068.t008	give.v.h.01.
d021.s068.t009	north.n.h.02.
d021.s068.t010	south.n.h.01.
d021.s068.t011	terrible.a.h.01.
d021.s068.t012	war.n.h.01.
d021.s068.t013	woe.n.h.01.
d021.s068.t014	offence.n.h.01.
d021.s068.t015	come.v.h.01.
d182.s020.t000	spectator.n.h.01.
d182.s020.t001	white.a.h.01.
d182.s020.t002	crush.n.h.01.
d182.s020.t003	texture.n.h.01.
d182.s020.t004	dip.v.h.01.
d182.s020.t005	toe.n.h.01.
d182.s020.t006	heel.n.h.01.
d182.s020.t007	smooth.a.h.01.
d182.s020.t008	black.a.h.01.
d182.s020.t009	navy.n.h.01.
d182.s020.t010	taffy.n.h.02.
d182.s020.t011	tan.n.h.01.
d104.s036.t000	zinc_cadmium_sulfide.n.h.01.
d104.s036.t001	particle.n.h.01.
d104.s036.t002	2.a.h.01.
d104.s036.t003	micron.n.h.01.
d104.s036.t004	size.n.h.01.
d104.s036.t005	disseminate.v.h.01.
d041.s120.t000	circle.n.h.01.
d041.s120.t001	dot.n.h.03.
d041.s120.t002	center.n.h.04.
d041.s120.t003	show_up.v.h.01.
d041.s120.t004	yellow.a.h.01.
d041.s120.t005	reflector.n.h.01.
d041.s120.t006	glass.n.h.02.
d041.s120.t007	in_front.r.h.01.
d178.s080.t000	wobble.v.h.01.
d178.s080.t001	weave.v.h.02.
d178.s080.t002	quite.r.h.01.
d178.s080.t003	a_bit.r.h.01.
d136.s055.t000	brightness.n.h.01.
d136.s055.t001	temperature.n.h.01.
d136.s055.t002	be.v.h.01.
d136.s055.t003	good.a.h.01.
d136.s055.t004	approximation.n.h.01.
d136.s055.t005	brightness.n.h.01.
d136.s055.t006	temperature.n.h.01.
d136.s055.t007	center.n.h.01.
d136.s055.t008	lunar.a.h.01.
d136.s055.t009	disc.n.h.01.
d136.s055.t010	narrow.a.h.01.
d136.s055.t011	antenna.n.h.01.
d136.s055.t012	beam.n.h.01.
d136.s055.t013	temperature.n.h.01.
d136.s055.t014	distribution.n.h.01.
d136.s055.t015	portion.n.h.01.
d136.s055.t016	moon.n.h.02.
d136.s055.t017	disc.n.h.01.
d136.s055.t018	be.v.h.01.
d136.s055.t019	nearly.r.h.01.
d136.s055.t020	uniform.a.h.01.
d218.s037.t000	express.v.h.01.
d218.s037.t001	place.v.h.01.
d218.s037.t002	allow.v.h.01.
d218.s037.t003	do.v.h.01.
d117.s006.t000	be.v.h.01.
d117.s006.t001	moon.n.h.02.
d117.s006.t002	now.r.h.01.
d117.s006.t003	sky.n.h.01.
d117.s006.t004	clear.v.h.01.
d117.s006.t005	scud.v.h.01.
d117.s006.t006	black.n.h.02.
d117.s006.t007	star.n.h.01.
d117.s006.t008	sugar.v.h.01.
d117.s006.t009	silver_gray.n.h.01.
d117.s006.t010	sky.n.h.01.
d138.s077.t000	shape.n.h.02.
d138.s077.t001	area.n.h.01.
d138.s077.t002	also.r.h.01.
d138.s077.t003	related_to.a.h.01.
d138.s077.t004	use.n.h.01.
d138.s077.t005	attraction.n.h.01.
d138.s077.t006	need.n.h.03.
d138.s077.t007	development.n.h.01.
d044.s011.t000	strongly.r.h.01.
d044.s011.t001	recommend.v.h.01.
d044.s011.t002	congress.n.h.01.
d044.s011.t003	avoidance.n.h.01.
d044.s011.t004	compulsory.a.h.01.
d044.s011.t005	floor.n.h.01.
d044.s011.t006	size.n.h.01.
d044.s011.t007	component.n.h.01.
d044.s011.t008	so.r.h.01.
d044.s011.t009	have.v.h.01.
d044.s011.t010	flexibility.n.h.02.
d044.s011.t011	make.v.h.01.
d044.s011.t012	adjustment.n.h.01.
d044.s011.t013	keep.v.h.01.
d044.s011.t014	military.a.h.01.
d044.s011.t015	necessity.n.h.01.
staple.n.02_example.0	staple.n.h.01.
d013.s039.t000	rather.r.h.01.
d013.s039.t001	firsthand.a.h.01.
d013.s039.t002	study.n.h.01.
d013.s039.t003	jewish.a.h.01.
d013.s039.t004	people.n.h.01.
d013.s039.t005	delineation.n.h.01.
d013.s039.t006	person.n.h.01.
d013.s039.t007	stem.v.h.01.
d013.s039.t008	collection.n.h.01.
d013.s039.t009	italian.a.h.01.
d013.s039.t010	story.n.h.01.
d013.s039.t011	publish.v.h.01.
d013.s039.t012	write.v.h.01.
d013.s039.t013	almost.r.h.01.
d013.s039.t014	2.a.h.01.
d013.s039.t015	century.n.h.01.
d013.s039.t016	earlier.r.h.01.
d048.s061.t000	decree.n.h.01.
d048.s061.t001	propose.v.h.01.
d048.s061.t002	amicus_curiae.n.h.01.
d048.s061.t003	file.v.h.01.
d048.s061.t004	aug.n.h.01.
d025.s108.t000	person.n.h.01.
d025.s108.t001	person.n.h.01.
d025.s108.t002	death.n.h.01.
d025.s108.t003	be.v.h.01.
d025.s108.t004	source.n.h.01.
d025.s108.t005	guilty.a.h.01.
d025.s108.t006	all_the_same.r.h.01.
d025.s108.t007	soaring.a.h.01.
d025.s108.t008	hope.n.h.02.
d065.s101.t000	call.v.h.01.
d065.s101.t001	bar.n.h.01.
d065.s101.t002	grill.n.h.01.
d065.s101.t003	pick_up.v.h.01.
d065.s101.t004	person.n.h.01.
d065.s101.t005	afternoon.n.h.01.
d008.s072.t000	person.n.h.01.
d008.s072.t001	go_on.v.h.01.
d008.s072.t002	finish.v.h.01.
d008.s072.t003	person.n.h.01.
d008.s072.t004	person.n.h.01.
d008.s072.t005	ask.v.h.01.
d008.s072.t006	stay.v.h.01.
d008.s072.t007	a_bit.r.h.01.
d008.s072.t008	longer.r.h.01.
d050.s102.t000	be.v.h.01.
d050.s102.t001	non.r.h.01.
d050.s102.t002	man.n.h.01.
d050.s102.t003	town.n.h.01.
d050.s102.t004	gun.n.h.01.
d050.s102.t005	permit.n.h.01.
georgian.a.04_example.0	georgian.a.h.03.
d173.s016.t000	love.n.h.01.
d173.s016.t001	be.v.h.01.
d173.s016.t002	crucial.a.h.01.
d173.s016.t003	dilemma.n.h.01.
d173.s016.t004	experience.n.h.01.
d173.s016.t005	person.n.h.01.
d173.s016.t006	hero.n.h.03.
senseval3.d001.s040.t000	examination.n.h.01.
senseval3.d001.s040.t001	change.n.h.01.
senseval3.d001.s040.t002	personal.a.h.01.
senseval3.d001.s040.t003	decision.n.h.01.
senseval3.d001.s040.t004	control.n.h.01.
senseval3.d001.s040.t005	body.n.h.01.
senseval3.d001.s040.t007	party.n.h.01.
senseval3.d001.s040.t008	reveal.v.h.01.
senseval3.d001.s040.t009	personal.a.h.01.
senseval3.d001.s040.t010	difference.n.h.01.
senseval3.d001.s040.t011	note.v.h.01.
senseval3.d001.s040.t012	table.n.h.01.
senseval3.d001.s040.t013	attribute.v.h.01.
senseval3.d001.s040.t015	control.n.h.01.
senseval3.d001.s040.t016	democrat.n.h.01.
senseval3.d001.s040.t017	exercise.v.h.01.
senseval3.d001.s040.t019	status.n.h.01.
senseval3.d001.s040.t020	other.a.h.01.
senseval3.d001.s040.t021	resource.n.h.01.
senseval3.d001.s040.t022	committee.n.h.01.
senseval3.d001.s040.t023	staff.n.h.01.
box.v.01_example.0	box.v.h.01.
d041.s049.t000	500.a.h.01.
d041.s049.t001	foot.n.h.01.
d041.s049.t002	swing.v.h.01.
d041.s049.t003	a_bit.r.h.01.
d041.s049.t004	north.r.h.01.
d041.s049.t005	city.n.h.01.
d041.s049.t006	location.n.h.01.
d041.s049.t007	punch.v.h.01.
d041.s049.t008	opening.n.h.01.
